rate_C_year,location,lat,long,spatial_extent,method_LSWT,method_LSWT_standard,method_trend,aggregation_mean_min_max_etc,annual_seasonal_data,temporal_aggregation,n_lakes,n_years,min_year,max_year,paper_source,citation,citation_short,journal,other notes?,link,comment from Whitney
0.04,China,34.34110332,103.527215,region,modelled (FLake),modelled,Sen's slope,mean,annual,annual,91,39,1979,2018,google scholar,"Huang, L., Wang, X., Yan, Y., Jin, L., Yang, K., Chen, A., ... & Piao, S. (2023). Attribution of lake surface water temperature change in large lakes across China over past four decades. Journal of Geophysical Research: Atmospheres, 128(21), e2022JD038465.",Huang et al. 2023,JGR Atmospheres,,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2022JD038465,"OR, MS"
0.024,global,32.11241402,-35.0366838,global,modelled (FLake),modelled,linear regression,mean,annual,annual,92245,39,1981,2020,google scholar,"Tong, Y., Feng, L., Wang, X., Pi, X., Xu, W., & Woolway, R. I. (2023). Global lakes are warming slower than surface air temperature due to accelerated evaporation. Nature Water, 1(11), 929-940.",Tong et al. 2023,Nature Water,,https://www.nature.com/articles/s44221-023-00148-8,
0.046,Lake Constance,47.61364325,9.398871537,point,in situ sensor,in situ,linear regression,mean,annual,annual,1,30,1981,2011,Scopus,"Fink, G., Schmid, M., Wahl, B., Wolf, T., & Wüest, A. (2014). Heat flux modifications related to climate?induced warming of large European lakes. Water Resources Research, 50(3), 2072-2085.",Fink et al. 2014,Water Resources Research,includes a table of other studies with LSWT rates,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1002/2013WR014448,
0.1,Tibetan Plateau,31.67525563,87.80117456,region,representative lake from thermal renalysis data (TRIMS-LST),modelled,Sen's slope,mean,annual,annual,298,22,2000,2022,Scopus,"Qiu, Y., Chen, J., & Chen, D. (2025). Changes in lake surface temperature on the Tibetan Plateau from 2000 to 2022 and their driving factors. Science China Earth Sciences, 1-15.",Qiu et al. 2025,Science China Earth Sciences,"this is for a representative lake, not actual water bodies. they provide estimates for all four seasons as well, also do a random forest approach to explain rates of change",https://link-springer-com.ezproxy.waikato.ac.nz/article/10.1007/s11430-024-1527-4,
0.05,Tibetan Plateau,31.67525563,87.80117456,region,representative lake from thermal renalysis data (TRIMS-LST),modelled,Sen's slope,mean,summer,summer,298,22,2000,2022,Scopus,"Qiu, Y., Chen, J., & Chen, D. (2025). Changes in lake surface temperature on the Tibetan Plateau from 2000 to 2022 and their driving factors. Science China Earth Sciences, 1-15.",Qiu et al. 2025,Science China Earth Sciences,"this is for a representative lake, not actual water bodies. they provide estimates for all four seasons as well",https://link-springer-com.ezproxy.waikato.ac.nz/article/10.1007/s11430-024-1527-4,
-0.08,Tibetan Plateau,31.67525563,87.80117456,region,representative lake from thermal renalysis data (TRIMS-LST),modelled,Sen's slope,mean,winter,winter,298,22,2000,2022,Scopus,"Qiu, Y., Chen, J., & Chen, D. (2025). Changes in lake surface temperature on the Tibetan Plateau from 2000 to 2022 and their driving factors. Science China Earth Sciences, 1-15.",Qiu et al. 2025,Science China Earth Sciences,"this is for a representative lake, not actual water bodies. they provide estimates for all four seasons as well",https://link-springer-com.ezproxy.waikato.ac.nz/article/10.1007/s11430-024-1527-4,
0.19,Tibetan Plateau,31.67525563,87.80117456,region,representative lake from thermal renalysis data (TRIMS-LST),modelled,Sen's slope,mean,spring,spring,298,22,2000,2022,Scopus,"Qiu, Y., Chen, J., & Chen, D. (2025). Changes in lake surface temperature on the Tibetan Plateau from 2000 to 2022 and their driving factors. Science China Earth Sciences, 1-15.",Qiu et al. 2025,Science China Earth Sciences,"this is for a representative lake, not actual water bodies. they provide estimates for all four seasons as well",https://link-springer-com.ezproxy.waikato.ac.nz/article/10.1007/s11430-024-1527-4,
0.4,Tibetan Plateau,31.67525563,87.80117456,region,representative lake from thermal renalysis data (TRIMS-LST),modelled,Sen's slope,mean,autumn,autumn,298,22,2000,2022,Scopus,"Qiu, Y., Chen, J., & Chen, D. (2025). Changes in lake surface temperature on the Tibetan Plateau from 2000 to 2022 and their driving factors. Science China Earth Sciences, 1-15.",Qiu et al. 2025,Science China Earth Sciences,"this is for a representative lake, not actual water bodies. they provide estimates for all four seasons as well",https://link-springer-com.ezproxy.waikato.ac.nz/article/10.1007/s11430-024-1527-4,
0.01,Chile,-36.48730226,-71.97720515,region,MODIS,satellite,Kendall's tau,mean,annual,annual,14,16,2000,2016,Scopus,"Aranda, A. C., Rivera-Ruiz, D., Rodríguez-López, L., Pedreros, P., Arumí-Ribera, J. L., Morales-Salinas, L., ... & Urrutia, R. (2021). Evidence of climate change based on lake surface temperature trends in south central Chile. Remote Sensing, 13(22), 4535.",Aranda et al. 2021,MDPI: Remote Sensing,they do provide seasonal and monthly trends but the rates are not listed for all lakes in a complete way,https://www.mdpi.com/2072-4292/13/22/4535,
0.074,Qinhai Lake,36.96164514,100.1769834,point,modelled (FLake),modelled,linear regression,mean,annual,annual,1,33,1979,2012,Scopus,"Su, D., Hu, X., Wen, L., Lyu, S., Gao, X., Zhao, L., ... & Kirillin, G. (2019). Numerical study on the response of the largest lake in China to climate change. Hydrology and Earth System Sciences, 23(4), 2093-2109.",Su et al. 2019,Hydrology and Earth System Sciences,trend methods were not directly stated,https://hess.copernicus.org/articles/23/2093/2019/hess-23-2093-2019.html,
0.033,Northern Hemisphere,44.88891732,-13.5323456,region,modelled (FLake),modelled,linear regression,mean,summer,summer,422,36,1980,2016,Scopus,"Woolway, R. I., Merchant, C. J., Van Den Hoek, J., Azorin?Molina, C., Nõges, P., Laas, A., ... & Jones, I. D. (2019). Northern hemisphere atmospheric stilling accelerates lake thermal responses to a warming world. Geophysical Research Letters, 46(21), 11983-11992.",Woolway et al. 2019,Geophysical Research Letters,,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2019GL082752,
0.004,Dianchi Lake,24.85521062,102.6957059,point,MODIS,satellite,linear regression,maximum,annual,annual,1,18,2001,2018,google scholar,Yang et al. 2021,Yang et al. 2021,Environmental Science and Pollution Research,,https://link.springer.com/article/10.1007/s11356-021-15621-8,
0.058,Europe,55.68930227,14.86411692,region,observational data,in situ,non-parametric Mann-Kendall Test,maximum,annual,annual,10,49,1966,2015,google scholar,"Dokulil, M. T., de Eyto, E., Maberly, S. C., May, L., Weyhenmeyer, G. A., & Woolway, R. I. (2021). Increasing maximum lake surface temperature under climate change. Climatic Change , 165 (3), 56. https://doi.org/10.1007/s10584-021-03085-1",Dokulil et al. 2021,Climate Change,cited in another paper,Increasing maximum lake surface temperature under climate change | Climatic Change,
0.111,Adirondack lakes (New York),44.1247,73.8693,region,"In situ, satellite",satellite,linear regression,mean,annual,annual,135,39,1984,2023,google scholar,"Azarderakhsh, M., Mossel, C., Khanom, F., Malik, A., Bah, A., Borrelli, J., ... & Rose, K. Validation and Trend Analysis of Satellite-Derived Surface Water Temperature Observations Over Adirondack Lakes. Available at SSRN 5000849.","Azarderakhsh et al., 2024",SSRN,Landsat 5 and 7 ,"Validation and Trend Analysis of Satellite-Derived Surface Water Temperature Observations Over Adirondack Lakes by Marzi Azarderakhsh, Carolien Mossel, Fahmeda Khanom, Aisha Malik, Abdou Bah, Jonathan Borrelli, Hamid Norouzi, Peter McIntyre, Kevin Rose :: SSRN",
0.024,Global,32.11241402,-35.0366838,global,satellite,satellite,,mean,summer,summer,681,20,1996,2015,google scholar,"Woolway, R. I., Carrea, L., Merchant, C. J., Dokulil, M., de Eyto, E., DeGasperi, C., ... & Weyhenmeyer, G. (2017). Lake surface temperature [in “State of the Climate in 2016”]. Bulletin of the American Meteorological Society, 98(8), 13-14.","Woolway et al., 2017",Bulletin of the American Meteorological Society,"NOTE: WW decided to delete the northern and southern hemisphere entries, as well as great lakes and keep only the global estimate",https://centaur.reading.ac.uk/72001/1/Woolway_etal_SotC_2017.pdf,
0.03,Canada,63.9880482,-111.3397898,region,satellite (Landsat),satellite,"linear regression, Mann-Kendall test",mean,open water,summer,535,37,1984,2021,google scholar,"Attiah, G., Pour, H. K., & Scott, K. A. (2023). Four decades of lake surface temperature in the Northwest Territories, Canada, using a lake-specific satellite-derived dataset. Journal of Hydrology: Regional Studies, 50, 101571.","Attiah et al., 2023",Journal of Hydrology: Regional Studies,June to September,"Four decades of lake surface temperature in the Northwest Territories, Canada, using a lake-specific satellite-derived dataset - ScienceDirect",
0.05,Canada,63.9880482,-111.3397898,region,satellite (Landsat),satellite,"linear regression, Mann-Kendall test",maximum,open water,summer,535,37,1984,2021,google scholar,"Attiah, G., Pour, H. K., & Scott, K. A. (2023). Four decades of lake surface temperature in the Northwest Territories, Canada, using a lake-specific satellite-derived dataset. Journal of Hydrology: Regional Studies, 50, 101571.","Attiah et al., 2023",Journal of Hydrology: Regional Studies,,,
0.03,Canada,63.9880482,-111.3397898,region,satellite (Landsat),satellite,"linear regression, Mann-Kendall test",mean,May,summer,535,37,1984,2021,google scholar,"Attiah, G., Pour, H. K., & Scott, K. A. (2023). Four decades of lake surface temperature in the Northwest Territories, Canada, using a lake-specific satellite-derived dataset. Journal of Hydrology: Regional Studies, 50, 101571.","Attiah et al., 2023",Journal of Hydrology: Regional Studies,,"Four decades of lake surface temperature in the Northwest Territories, Canada, using a lake-specific satellite-derived dataset - ScienceDirect",
0.06,Canada,63.9880482,-111.3397898,region,satellite (Landsat),satellite,"linear regression, Mann-Kendall test",maximum,May,summer,535,37,1984,2021,google scholar,"Attiah, G., Pour, H. K., & Scott, K. A. (2023). Four decades of lake surface temperature in the Northwest Territories, Canada, using a lake-specific satellite-derived dataset. Journal of Hydrology: Regional Studies, 50, 101571.","Attiah et al., 2023",Journal of Hydrology: Regional Studies,,,
0.13,Canada,63.9880482,-111.3397898,region,satellite (Landsat),satellite,"linear regression, Mann-Kendall test",mean,October,autumn,535,37,1984,2021,google scholar,"Attiah, G., Pour, H. K., & Scott, K. A. (2023). Four decades of lake surface temperature in the Northwest Territories, Canada, using a lake-specific satellite-derived dataset. Journal of Hydrology: Regional Studies, 50, 101571.","Attiah et al., 2023",Journal of Hydrology: Regional Studies,,"Four decades of lake surface temperature in the Northwest Territories, Canada, using a lake-specific satellite-derived dataset - ScienceDirect",
0.27,Canada,63.9880482,-111.3397898,region,satellite (Landsat),satellite,"linear regression, Mann-Kendall test",maximum,October,autumn,535,37,1984,2021,google scholar,"Attiah, G., Pour, H. K., & Scott, K. A. (2023). Four decades of lake surface temperature in the Northwest Territories, Canada, using a lake-specific satellite-derived dataset. Journal of Hydrology: Regional Studies, 50, 101571.","Attiah et al., 2023",Journal of Hydrology: Regional Studies,,,
0.106,Italy,42.12966129,12.22750328,point,satellite (Landsat),satellite,linear regression,mean,annual,annual,1,35,1984,2019,google scholar,"De Santis, D., Del Frate, F., & Schiavon, G. (2021). Analysis of climate change effects on surface temperature in central-Italy lakes using satellite data time-series. Remote Sensing, 14(1), 117.","De Santis et al., 2021",Remote Sensing,Lake Bracciano,,
0.053,Italy,42.12966129,12.22750328,point,satellite (Landsat),satellite,linear regression,mean,annual,annual,1,35,1984,2019,google scholar,"De Santis, D., Del Frate, F., & Schiavon, G. (2021). Analysis of climate change effects on surface temperature in central-Italy lakes using satellite data time-series. Remote Sensing, 14(1), 117.","De Santis et al., 2021",Remote Sensing,Lake Martignano,,
0.018,Southeast Asia,16.37239748,103.0765376,region,satellite,satellite,"Mann-Kendall, Sen's approach",mean,annual (day),annual,80,34,1986,2020,Scopuis,"Virdis, S. G. P., Kongwarakom, S., Juneng, L., Padedda, B. M., & Shrestha, S. (2024). Historical and projected response of Southeast Asian lakes surface water temperature to warming climate. Environmental Research, 247, 118412.","Virdis et al., 2024",Environmental Research,,Historical and projected response of Southeast Asian lakes surface water temperature to warming climate - ScienceDirect,
0.013,Southeast Asia,16.37239748,103.0765376,region,satellite,satellite,"Mann-Kendall, Sen's approach",mean,annual (night),,80,34,1986,2020,Scopus,"Virdis, S. G. P., Kongwarakom, S., Juneng, L., Padedda, B. M., & Shrestha, S. (2024). Historical and projected response of Southeast Asian lakes surface water temperature to warming climate. Environmental Research, 247, 118412.","Virdis et al., 2024",Environmental Research,,Historical and projected response of Southeast Asian lakes surface water temperature to warming climate - ScienceDirect,
0.04,Europe,55.68930227,14.86411692,region,satellite,satellite,"Mann-Kendall, Sen's approach",mean,annual ,annual,51,38,1981,2019,google scholar,"Stefanidis, K., Varlas, G., Papaioannou, G., Papadopoulos, A., & Dimitriou, E. (2022). Trends of lake temperature, mixing depth and ice cover thickness of European lakes during the last four decades. Science of the Total Environment, 830, 154709.",Stefanidis et al. 2022,Science of the Total Environment,,"Trends of lake temperature, mixing depth and ice cover thickness of European lakes during the last four decades - ScienceDirect",
