LID,t50_fid,LCDB_UID,Name,Geomorphic,ArtInfo,Wetland,Ephemeral,Depth_Meas,NewAreaHa,CentroidX,CentroidY,Region,Primary,Natural2,Natural3,Natural4,Natural5,Current2,Current3,Current4,Current5,MaxDepth,DecTemp,DecSolrad,Fetch,SumWind,Urban,Pasture,WoniUnit,WoniProvin,LakeAreaHa,LakePerim,LakeVolume,LakeElevat,MeanWind,RegionalRa,RegionalCu,NationalRa,NationalCu,NationalPr,National_1,NaturalCov,LandusePre,Impervious,InvasivePl,InvasiveFi,DamEffectU,DamEffectD,SumPressur,SumPress_1,SumPress_2,SumPress_3,catAreaHa,Residence,NitrogenLo,PredMacrop,ActualMacr,ClarityPro,LakeElev,catArea,catPerim,catSlope,catFlow,catElev,catAnnTemp,catDecSolR,catJuneSol,catPhos,catCalc,catHard,catPsize,catAlluv,catBeech_1,catGlacial,catPeat,catImpervi,catNatural,catPasture,SBTI,SBTI_Troph,MfE_TN_Med,MfE_NH4N_M,MfE_TP_Med,MfE_CHLA_M,MfE_CHLA_A,MfE_CLAR_M,MfE_TLI3_M,MfE_TLI4_M,MfE_ECOLI_,MfE_ECOLI1,MfE_ECOL_1,MfE_ECOL_2,Abell_TLI,Ab_TLI_Low,Ab_TLI_Upp,Abell_TN,Ab_TN_Lowe,Ab_TN_Uppe,Abell_TP,Ab_TP_Lowe,Ab_TP_Uppe,Abell_Chla,Ab_Chl_Low,Ab_Chl_Upp,Abell_Secc,Ab_Sec_Low,Ab_Sec_Upp,Lat,Long,Alpine_Gra,Indi_Hard,Built_up,Decid_Hard,Dep_Grass,Dune_Shrub,Estu_Wat,Exot_For,Fernland,Flaxland,For_Harv,Gorse,Gravel,Herb_FW_Ve,Herb_Sal_V,High_Prod_,Indi_For,Landslide,Low_Prod_G,Manuka,Matagouri,Mixed_Exo_,Orchard,Peat_Shrub,Per_Snow,River,Sand,Short_rot_,Sub_Alp_Sh,Mine,Tussock,Trans_Infr,Parkland
229,0, ,Lake Pounui,T,0,0,0,9,45.9520186,175.112949,-41.34463255,Wellington,A,A.1,A.1.1,A.1.1.1,A.1.1.1.2,A.1,A.1.2,A.1.2.2,A.1.2.2.1,16.2535,17.0200005,2310.75,1274,6.1199999,0,5.8000002,Manawatu-Wairarapa,Southern North Island Province,45.9533997,3857.800049,2489670,14.0799999,5.9519501,167,92.8857422,821,14.3958206,662,10.6085415,0.9915853,0.9266889,71.9700699,0,24,0,0,0.9266889,0.5644437,0.9306024,0.5668274,717.9299927,205.3832703,3.8571999,3.27,0,3.27,14.0799999,7179300,13380,11.25,4424557.5,119.0500031,12.35007,2326.689941,532.2999878,1,1,3.97,4.6300001,0.0000044,54.4353485,0,0,0.4780115,94.0900421,5.8042841,3.777670145,Mesotrophic,0.397255064,0.006325188,0.019070767,4.481303005,34.61519149,2.261920393,3.884088782,3.93527377,4.255856687,45.65468958,2.240178354,0.638883959,3.013639384,2.678728503,3.365757011,214.1280092,139.721405,304.7706059,8.674912251,5.495784391,14.12665485,1.890063588,1.230140044,2.946482441,4.408823651,3.510323366,5.556025967,-41.34462253,175.1129375,0,4.036427496,0,0,0,0,0,0.030190339,0,0,0,0.817858061,0,2.829705392,0,6.065301465,83.50184158,0,0.048583862,2.670091804,0,0,0,0,0,0,0,0,0,0,0,0,0
300,0, ,0,R,0,0,0,0,4.745410277,175.3184154,-41.17111828,Wellington,C,C.1,C.1.1,C.1.1.1,C.1.1.1.2,C.1,C.1.1,C.1.1.2,C.1.1.2.1,3.10272,17.2999992,2327.550049,490,5.8499999,0,17.7000008,Manawatu-Wairarapa,Southern North Island Province,6.5783701,1431.400024,68036.10156,4.7600002,5.3393502,6,0.8007407,209,2.6218772,1431,32.4753838,0.9642829,0.8949754,0,0,0,0,0,0.8949754,0.8949754,0.9115504,0.9115504,7.9200001,1068.442383,25.9526005,0.37,0,0.37,4.7600002,79200,720,0.06,23242.41602,4.8499999,12.8999996,2328,529,1.77,2,1,1,0.1262626,0,0,0,0,79.2307663,17.7070713,3.893013,Mesotrophic,0.55768473,0.018975934,0.020504705,5.334129984,46.06819348,1.708259447,4.197449771,3.783126925,17.41411223,452.8197986,12.38861936,2.403997847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-41.17110918,175.3184137,0,0,0,29.19069397,0,0,0,0,0,0,0,0,0,70.80930603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,0, ,Bartons Lagoon,R,0,0,0,1,10.58549904,175.3137233,-41.16806013,Wellington,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Manawatu-Wairarapa,Southern North Island Province,10.5858002,1373.400024,103304,4.5799999,5.37675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,945.4500122,0,39.7924004,0.06,0,0.06,4.5799999,9454500,29040,0.34,3357729.25,20.4599991,12.7401266,2330.939941,527.8499756,1.96,2,1,1,0.0010096,0,0,0.000048,4.1727476,4.3054266,94.4127121,4.90745163,Eutrophic,1.418125366,0.112218007,0.149047668,10.37786952,175.6611258,1.027923029,5.604939254,4.81190301,74.47558081,454.5028802,24.2568993,14.16121137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-41.16805048,175.3137174,0,0.106687788,0,1.866106613,0,0,0,0.823560476,0,0,0,0,0,1.958763845,0,94.17633641,0,0,0,1.068544873,0,0,0,0,0,0,0,0,0,0,0,0,0
325,0, ,Horseshoe Lagoon,RA,D,0,0,0,1.166901578,175.4274687,-41.19259706,Wellington,C,C.1,C.1.1,C.1.1.1,C.1.1.1.2,C.2,C.2.1,C.2.1.1,C.2.1.1.1,3.22926,17.2999992,2327.709961,532,4.8299999,0,85.75,Manawatu-Wairarapa,Southern North Island Province,2.75804,1484.699951,29688.09961,15.7700005,4.5054498,78,9.6088705,1854,72.0558395,2294,86.3607178,0.304685,0.287549,6.0970731,0,0,0,0,0.287549,0.287549,0.6152898,0.6152898,93.0599976,106.5826645,1.3249,0.31,0,0.31,15.7700005,930600,6000,0.58,101669.1016,16.6599998,12.8000002,2327.879883,528.960022,2,2,1,1,0.0107458,0,0,0,4.3160691,0,85.7524185,5.439436436,Supertrophic,1.387242486,0.071436075,0.054653764,10.70074694,92.94278813,1.50934096,5.295182755,4.793404599,87.55766574,338.4535224,30.98805029,13.80657729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-41.19259258,175.4274631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.86065329,0,0,0,0,0,0,0,0,0,0,0,14.13934671,0,0,0,0,0
332,0, ,0,A,D,0,0,0,1.413403722,176.0195213,-41.14413454,Wellington,C,C.1,C.1.1,C.1.1.1,C.1.1.1.3,C.2,C.2.1,C.2.1.1,C.2.1.1.1,5.9803801,17.6000004,2323.76001,220,6.54,0,93.4400024,Palliser-Kidnappers,Southern North Island Province,1.50791,555.5,30059.5,6.6500001,6.5172,62,97.4358978,2975,94.4672852,3058,94.6609879,0.3099286,0.2996898,0,0,0,0,0,0.2996898,0.2996898,0.6333269,0.6333269,17.8199997,145.4808807,0.4344,0.76,0,0.76,6.6500001,178200,1920,1.17,75416.86719,11.0600004,13.1999998,2328,537,2.77,2,2.54,4.0900002,0.0123939,0,0,0,0,7.5862069,93.4455719,5.087612152,Supertrophic,1.037253169,0.030258037,0.04936866,11.9028161,96.83755886,1.39669537,5.219112691,4.852834131,16.62750831,72.1935034,22.13166663,14.08901081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-41.14412559,176.0195126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
337,0, ,0,A,D,0,0,0,1.189329157,176.0243699,-41.12350597,Wellington,C,C.1,C.1.1,C.1.1.1,C.1.1.1.3,C.2,C.2.1,C.2.1.1,C.2.1.1.1,2.8943801,17.6000004,2310.280029,190,6.4499998,0,100,Palliser-Kidnappers,Southern North Island Province,1.01771,612,9818.759766,24.2399998,6.4376502,0,0,0,0,0,0,0.304685,0.3037782,0,0,0,0,0,0.3037782,0.3037782,0.6503388,0.6503388,3.78,213.0879669,0,0.37,0,0.37,24.2399998,37800,900,1.6799999,16818.62891,24.2399998,13.166667,2327,537,3,2,3,5,0,0,0,0,6.3492064,0,100,5.957734108,Supertrophic,1.051177532,0.018298039,0.048193886,13.54916376,84.1016376,1.723826448,5.373022303,4.683767977,9.514511449,100.9748972,12.31149701,4.491868879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-41.12349618,176.0243636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338,0, ,0,A,D,0,0,0,1.394449371,176.0268659,-41.12273519,Wellington,C,C.1,C.1.1,C.1.1.1,C.1.1.1.3,C.2,C.2.1,C.2.1.1,C.2.1.1.1,3.03669,17.5699997,2309.409912,300,6.5,0,93.1399994,Palliser-Kidnappers,Southern North Island Province,1.6208301,926.0999756,16406.5,27.25,6.4980102,24,54.4871826,2123,79.443428,2192,83.6994019,0.3118065,0.3108785,0,0,0,0,0,0.3108785,0.3108785,0.6539512,0.6539512,6.21,212.0676422,0,0.72,0,0.72,27.25,62100,1260,1.4299999,28238.10156,30.4599991,13.1166668,2326.5,537,2.9100001,2,2.8199999,4.6500001,0.0230044,0,0,0,0,9.3457947,93.1400986,4.290190697,Eutrophic,0.876553346,0.017598369,0.037393243,13.59683631,82.14714815,1.70577976,5.196634203,4.484935451,9.025821582,82.09352647,12.11689914,0.77468983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-41.12272857,176.0268542,0,0,0,0,0,0,0,0,0,0,0,0,0,34.82480565,0,65.17519435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
345,0, ,0,A,D,0,0,0,2.916597835,176.0601476,-41.12153407,Wellington,C,C.1,C.1.1,C.1.1.1,C.1.1.1.3,C.2,C.2.1,C.2.1.1,C.2.1.1.1,7.2437,17.6000004,2302.379883,260,6.73,0,90.4899979,Palliser-Kidnappers,Southern North Island Province,2.68997,817.7000122,64951.10156,16.6599998,6.7135301,26,57.6923141,2171,80.5468597,2243,84.6802216,0.3081251,0.2982866,0,0,0,0,0,0.2982866,0.2982866,0.6331782,0.6331782,33.9300003,150.300766,0.4099,1.96,0,1.96,16.6599998,339300,3420,3.51,157731.3438,26.4899998,13.1647062,2324.929932,538,3,2,3.01,4.96,0.000237,0,0,0,0,5.5555553,90.4992676,5.397943497,Supertrophic,1.057226031,0.020746155,0.086393764,14.40873536,82.70594539,1.640265537,5.401943827,4.737069964,9.609819789,65.03869616,7.815843761,1.33202641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-41.12153112,176.0601437,0,0,0,0,0,0,0,7.46064318,0,0,0,0,0,0,0,92.53935682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
349,0, ,0,A,D,0,0,0,2.351375369,175.8458258,-41.09616294,Wellington,C,C.1,C.1.1,C.1.1.1,C.1.1.1.2,C.2,C.2.1,C.2.1.1,C.2.1.1.1,11.4695997,16.3999996,2301.679932,320,4.8800001,0,83.6999969,Palliser-Kidnappers,Southern North Island Province,2.35185,787.5,89916,215.3699951,5.0391402,38,75,2501,91.5537872,2557,91.8172455,0.3199408,0.3189886,0,0,0,0,0,0.3189886,0.3189886,0.6580063,0.6580063,16.7399998,253.5881042,0,1.91,0,1.91,215.3699951,167400,1920,2.1199999,129419.8984,221.4600067,11.6933336,2325,530,2.5699999,2,2.1500001,3.3099999,0.028317,0,0,0,0,14.7058821,83.7060928,4.921627998,Eutrophic,0.804780005,0.017161989,0.039715729,14.22961562,99.05846536,2.02138509,4.995942322,4.505021289,2.839819907,32.56622164,11.04240619,0.756405206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-41.09616041,175.845818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
352,0, ,0,A,D,0,0,0,1.518456814,175.8582348,-41.08859473,Wellington,C,C.1,C.1.1,C.1.1.1,C.1.1.1.3,C.2,C.2.1,C.2.1.1,C.2.1.1.1,11.6184998,16.3999996,2327.040039,230,4.9000001,0,73.0599976,Palliser-Kidnappers,Southern North Island Province,1.51877,554.7000122,58819.5,229.5599976,5.0728002,57,93.5897446,2805,94.2470398,2857,94.4045181,0.3573867,0.3563231,0,0,0,0,0,0.3563231,0.3563231,0.6766735,0.6766735,5.04,528.7837524,0,2.3499999,0,2.3499999,229.5599976,50400,1200,4.5300002,40600.92578,229.5800018,11.6166668,2325,530,3,2,3,5,0,0,0,0,0,25.8426971,73.0674591,4.940157413,Eutrophic,0.810884306,0.016497947,0.045742821,15.97163471,99.641215,2.245608214,5.080129721,4.488764935,2.70153617,29.7674797,11.32532399,0.658317538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-41.0885856,175.8582215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
