"site","reference_period","parameter","period_start","period_end","p_value","slope","conf_low","conf_high","conf_level","z","trend_method","n","note","s","var_s","tau","alternative","trend_likelihood","lat","lon"
"Dunedin (Otago)","1991-2020","Rainfall due to very wet days","1960-01-01","2022-12-31",0.12305335325112741,0.11819827602393966,-0.006237737187162854,0.2404001858578081,0.9,1.5420832972402614,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-45.90129,170.5147
"Gisborne (Gisborne)",NA,"Maximum one-day rainfall","1960-01-01","2022-12-31",0.9574255535941192,-0.010869565217391304,-0.3,0.2900000000000002,0.9,-0.05338450152587885,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-38.6586,177.9851
"Gisborne (Gisborne)","1961-1990","Very wet days","1960-01-01","2022-12-31",0.13778971298045264,0.023255813953488372,0,0.058823529411764705,0.9,1.484072405311715,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-38.6586,177.9851
"Gisborne (Gisborne)","1961-1990","Rainfall due to very wet days","1960-01-01","2022-12-31",0.0751759303843633,0.1347107318556839,0.015228644609279448,0.25788020553723406,0.9,1.77938947758178,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-38.6586,177.9851
"Gisborne (Gisborne)","1991-2020","Very wet days","1960-01-01","2022-12-31",0.10228378224344697,0.02631578947368421,0,0.05660377358490566,0.9,1.6338812749498817,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-38.6586,177.9851
"Gisborne (Gisborne)","1991-2020","Rainfall due to very wet days","1960-01-01","2022-12-31",0.09676095196349772,0.14082142882329038,6.999421903296975e-4,0.27374728024813405,0.9,1.6607635124096614,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-38.6586,177.9851
"Gore (Southland)",NA,"Maximum one-day rainfall","1960-01-01","2022-12-31",0.05765300281223365,0.13571428571428573,0.01999999999999997,0.2720930232558139,0.9,1.8983271256822971,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-46.115,168.887
"Gore (Southland)","1961-1990","Very wet days","1960-01-01","2022-12-31",0.40442943960057004,0,0,0.043478260869565216,0.9,0.8337365808541012,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-46.115,168.887
"Gore (Southland)","1961-1990","Rainfall due to very wet days","1960-01-01","2022-12-31",0.2129374296357231,0.05084467226827571,-0.02188881640936439,0.12875469168908182,0.9,1.2455288170017496,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-46.115,168.887
"Gore (Southland)","1991-2020","Very wet days","1960-01-01","2022-12-31",0.40442943960057004,0,0,0.043478260869565216,0.9,0.8337365808541012,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-46.115,168.887
"Gore (Southland)","1991-2020","Rainfall due to very wet days","1960-01-01","2022-12-31",0.2129374296357231,0.05084467226827571,-0.02188881640936439,0.12875469168908182,0.9,1.2455288170017496,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-46.115,168.887
"Hamilton (Waikato)",NA,"Maximum one-day rainfall","1960-01-01","2022-12-31",0.03272486813346673,-0.23157894736842116,-0.44250000000000006,-0.05,0.9,-2.1354426731542775,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-37.86088,175.33175
"Hamilton (Waikato)","1961-1990","Very wet days","1960-01-01","2022-12-31",0.7334568962052074,0,-0.025,0.041666666666666664,0.9,0.34053071494460924,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-37.86088,175.33175
"Hamilton (Waikato)","1961-1990","Rainfall due to very wet days","1960-01-01","2022-12-31",0.9243962949511572,-0.008901145076232972,-0.11266103889526402,0.09090116652970358,0.9,-0.09489743367632378,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-37.86088,175.33175
"Hamilton (Waikato)","1991-2020","Very wet days","1960-01-01","2022-12-31",0.7651699368865703,0,-0.02702702702702703,0.041666666666666664,0.9,0.2986987159350145,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-37.86088,175.33175
"Hamilton (Waikato)","1991-2020","Rainfall due to very wet days","1960-01-01","2022-12-31",0.9149796885444033,-0.008901145076232972,-0.11431997901421247,0.08938658836272992,0.9,-0.10675961288586426,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-37.86088,175.33175
"Hokitika (West Coast)",NA,"Maximum one-day rainfall","1960-01-01","2022-12-31",0.03734956655579941,0.4658536585365852,0.10869565217391304,0.8133333333333336,0.9,2.081922310417497,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-42.71228,170.98428
"Hokitika (West Coast)","1961-1990","Very wet days","1960-01-01","2022-12-31",0.20336949005492128,0.024390243902439025,0,0.06666666666666667,0.9,1.2720102144773306,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-42.71228,170.98428
"Hokitika (West Coast)","1961-1990","Rainfall due to very wet days","1960-01-01","2022-12-31",0.11194033225545356,0.08304153125796018,-0.004900618219272304,0.17180646932595214,0.9,1.5895320140784235,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-42.71228,170.98428
"Hokitika (West Coast)","1991-2020","Very wet days","1960-01-01","2022-12-31",0.19498948797536347,0.021739130434782608,0,0.0625,0.9,1.2959593560229357,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-42.71228,170.98428
"Hokitika (West Coast)","1991-2020","Rainfall due to very wet days","1960-01-01","2022-12-31",0.0812043770863147,0.08298877917928865,0.007389930505495141,0.16870566993360434,0.9,1.7437403438024495,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-42.71228,170.98428
"Invercargill (Southland)",NA,"Maximum one-day rainfall","1960-01-01","2022-12-31",0.7986773101317938,-0.017241379310344827,-0.14999999999999963,0.09999999999999992,0.9,-0.25505928506808784,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-46.41741,168.33052
"Invercargill (Southland)","1961-1990","Very wet days","1960-01-01","2022-12-31",0.7925900971984903,0,-0.023809523809523808,0.03636363636363636,0.9,0.26294872888721954,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-46.41741,168.33052
"Invercargill (Southland)","1961-1990","Rainfall due to very wet days","1960-01-01","2022-12-31",0.7219413863342947,-0.019571212525576136,-0.10207665871873255,0.06641591160527352,0.9,-0.3558653762862142,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-46.41741,168.33052
"Invercargill (Southland)","1991-2020","Very wet days","1960-01-01","2022-12-31",0.7559792883013796,0,-0.022727272727272728,0.03508771929824561,0.9,0.31076498785127427,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-46.41741,168.33052
"Invercargill (Southland)","1991-2020","Rainfall due to very wet days","1960-01-01","2022-12-31",0.7308438817481107,-0.0185854961207653,-0.1010394604099357,0.06858423645109919,0.9,-0.3440031970766737,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-46.41741,168.33052
"Kerikeri (Northland)",NA,"Maximum one-day rainfall","1960-01-01","2022-12-31",0.09796444371469476,0.4340425531914895,0.00416666666666643,0.82,0.9,1.6548031061730024,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-35.183,173.926
"Kerikeri (Northland)","1961-1990","Very wet days","1960-01-01","2022-12-31",0.07127660038987081,0.038461538461538464,0,0.075,0.9,1.8037111518904543,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-35.183,173.926
"Kerikeri (Northland)","1961-1990","Rainfall due to very wet days","1960-01-01","2022-12-31",0.00734348761641034,0.1815478772173829,0.07558973279481032,0.2788579964222741,0.9,2.680852501356147,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-35.183,173.926
"Kerikeri (Northland)","1991-2020","Very wet days","1960-01-01","2022-12-31",0.02394831798815226,0.043478260869565216,0,0.07692307692307693,0.9,2.2579573593782976,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-35.183,173.926
"Kerikeri (Northland)","1991-2020","Rainfall due to very wet days","1960-01-01","2022-12-31",0.004754710072748325,0.18992908636151792,0.07286509333718791,0.29990416159931604,0.9,2.8231986518706327,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-35.183,173.926
"Lake Tekapo (Canterbury)",NA,"Maximum one-day rainfall","1960-01-01","2022-12-31",0.3672414921503239,0.11538461538461539,-0.08235294117647071,0.38478260869565223,0.9,0.9016525015442152,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-44.002,170.441
"Lake Tekapo (Canterbury)","1961-1990","Very wet days","1960-01-01","2022-12-31",0.6554633181739866,0,-0.02564102564102564,0,0.9,-0.4461854140064689,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-44.002,170.441
"Lake Tekapo (Canterbury)","1961-1990","Rainfall due to very wet days","1960-01-01","2022-12-31",0.5934812530666839,-0.03561244319586478,-0.17060235048809644,0.10603409569274629,0.9,-0.5337980644293213,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-44.002,170.441
"Lake Tekapo (Canterbury)","1991-2020","Very wet days","1960-01-01","2022-12-31",0.55987982903915,0,-0.03225806451612903,0,0.9,-0.5830200112500247,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-44.002,170.441
"Lake Tekapo (Canterbury)","1991-2020","Rainfall due to very wet days","1960-01-01","2022-12-31",0.5218101043966319,-0.04685055788987615,-0.17174440765635257,0.09892884804556795,0.9,-0.6405576773151855,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-44.002,170.441
"Masterton (Wellington)",NA,"Maximum one-day rainfall","1960-01-01","2022-12-31",0.614142467753178,0.06666666666666703,-0.12750000000000003,0.27499999999999997,0.9,0.5041692204714736,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-40.957,175.707
"Masterton (Wellington)","1961-1990","Very wet days","1960-01-01","2022-12-31",0.017422407000365066,0.06060606060606061,0,0.1,0.9,2.3776700640666215,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-40.957,175.707
"Masterton (Wellington)","1961-1990","Rainfall due to very wet days","1960-01-01","2022-12-31",0.01824669410309552,0.17050419409093473,0.06395253746293406,0.2737493993656616,0.9,2.3605736626985543,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-40.957,175.707
"Masterton (Wellington)","1991-2020","Very wet days","1960-01-01","2022-12-31",0.04430342265513332,0.047619047619047616,0,0.08695652173913043,0.9,2.0112086485363188,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-40.957,175.707
"Masterton (Wellington)","1991-2020","Rainfall due to very wet days","1960-01-01","2022-12-31",0.05172716859913974,0.14535163119082858,0.024407215896771795,0.2560679464102096,0.9,1.9453973903646375,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-40.957,175.707
"Milford Sound (Southland)",NA,"Maximum one-day rainfall","1960-01-01","2022-12-31",0.6478737514985895,0.17142857142857143,-0.5692307692307685,0.8181818181818182,0.9,0.4567179997212173,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-44.67384,167.92406
"Milford Sound (Southland)","1961-1990","Very wet days","1960-01-01","2022-12-31",0.1465220125034311,0.045454545454545456,0,0.09375,0.9,1.4519266104959145,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-44.67384,167.92406
"Milford Sound (Southland)","1961-1990","Rainfall due to very wet days","1960-01-01","2022-12-31",0.2751318859742066,0.0651516069812225,-0.03679794996774855,0.1582300779774523,0.9,1.0913204872777236,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-44.67384,167.92406
"Milford Sound (Southland)","1991-2020","Very wet days","1960-01-01","2022-12-31",0.20020323108346938,0.03773584905660377,0,0.08333333333333333,0.9,1.2809727687897647,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-44.67384,167.92406
"Milford Sound (Southland)","1991-2020","Rainfall due to very wet days","1960-01-01","2022-12-31",0.38652356930273846,0.051674669867023196,-0.05706904379788418,0.13940444587128956,0.9,0.8659390822964546,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-44.67384,167.92406
"Napier (Hawke's Bay)",NA,"Maximum one-day rainfall","1960-01-01","2022-12-31",0.7263833953884646,0.06153846153846187,-0.197872340425532,0.3903225806451611,0.9,0.3499404418071941,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-39.49846,176.91189
"Napier (Hawke's Bay)","1961-1990","Very wet days","1960-01-01","2022-12-31",0.2798813856876743,0,0,0.04081632653061224,0.9,1.0805858363279823,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-39.49846,176.91189
"Napier (Hawke's Bay)","1961-1990","Rainfall due to very wet days","1960-01-01","2022-12-31",0.041320970035098305,0.1328866079135826,0.02775539233261739,0.24413462577828468,0.9,2.0402948240409615,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-39.49846,176.91189
"Napier (Hawke's Bay)","1991-2020","Very wet days","1960-01-01","2022-12-31",0.21189819167091434,0,0,0.034482758620689655,0.9,1.2483628927459611,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-39.49846,176.91189
"Napier (Hawke's Bay)","1991-2020","Rainfall due to very wet days","1960-01-01","2022-12-31",0.03178894805945738,0.15641956111392136,0.03648264128057326,0.2646406602745337,0.9,2.1470544369268256,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-39.49846,176.91189
"Nelson (Nelson)",NA,"Maximum one-day rainfall","1960-01-01","2022-12-31",0.995267453196243,0,-0.27037037037037054,0.2923076923076924,0.9,-0.005931402593782043,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-41.299,173.226
"Nelson (Nelson)","1961-1990","Very wet days","1960-01-01","2022-12-31",0.509283474497393,0,0,0.04,0.9,0.6599538048504342,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-41.299,173.226
"Nelson (Nelson)","1961-1990","Rainfall due to very wet days","1960-01-01","2022-12-31",0.6954632256775093,0.03182908153616365,-0.09427694902441666,0.17751082800135665,0.9,0.3914519139148356,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-41.299,173.226
"Nelson (Nelson)","1991-2020","Very wet days","1960-01-01","2022-12-31",0.4572317150790496,0,0,0.041666666666666664,0.9,0.7434129355798135,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-41.299,173.226
"Nelson (Nelson)","1991-2020","Rainfall due to very wet days","1960-01-01","2022-12-31",0.609999825532016,0.04382135435906049,-0.07837274797255864,0.1825552958679803,0.9,0.5100737060102404,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-41.299,173.226
"New Plymouth (Taranaki)",NA,"Maximum one-day rainfall","1960-01-01","2022-12-31",0.0751759303843633,-0.2711111111111112,-0.4899999999999999,-0.023333333333332953,0.9,-1.77938947758178,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-39.0079,174.18382
"New Plymouth (Taranaki)","1961-1990","Very wet days","1960-01-01","2022-12-31",0.11006623920619306,-0.030303030303030304,-0.06896551724137931,0,0.9,-1.597895484450362,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-39.0079,174.18382
"New Plymouth (Taranaki)","1961-1990","Rainfall due to very wet days","1960-01-01","2022-12-31",0.05244043407291878,-0.12767111228794098,-0.22465532357721796,-0.018333568838020044,0.9,-1.9395004147619062,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-39.0079,174.18382
"New Plymouth (Taranaki)","1991-2020","Very wet days","1960-01-01","2022-12-31",0.07831045338437632,-0.037037037037037035,-0.07692307692307693,0,0.9,-1.7605744668547625,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-39.0079,174.18382
"New Plymouth (Taranaki)","1991-2020","Rainfall due to very wet days","1960-01-01","2022-12-31",0.020715770542396136,-0.13963733183649643,-0.24555472191929076,-0.048177316736951754,0.9,-2.3131249458603924,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-39.0079,174.18382
"Queenstown (Otago)",NA,"Maximum one-day rainfall","1960-01-01","2022-12-31",0.7803916987118755,0.020000000000000285,-0.1439999999999999,0.19999999999999984,0.9,0.2788086202108709,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-45.01758,168.74005
"Queenstown (Otago)","1961-1990","Very wet days","1960-01-01","2022-12-31",0.4570807095216129,0,0,0.03571428571428571,0.9,0.7436624538515416,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-45.01758,168.74005
"Queenstown (Otago)","1961-1990","Rainfall due to very wet days","1960-01-01","2022-12-31",0.5934812530666839,0.030716948678129113,-0.07036398488523098,0.1362529823097457,0.9,0.5337980644293213,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-45.01758,168.74005
"Queenstown (Otago)","1991-2020","Very wet days","1960-01-01","2022-12-31",0.3893422379081318,0,0,0.03508771929824561,0.9,0.8608108324632919,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-45.01758,168.74005
"Queenstown (Otago)","1991-2020","Rainfall due to very wet days","1960-01-01","2022-12-31",0.5975680355665285,0.035438279280390124,-0.06489376354546945,0.1515662447922678,0.9,0.5279010216726303,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-45.01758,168.74005
"Reefton (West Coast)",NA,"Maximum one-day rainfall","1960-01-01","2022-12-31",0.05463840136420647,0.2686274509803922,0.04074074074074053,0.4656250000000002,0.9,1.9217406357883224,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-42.11578,171.86014
"Reefton (West Coast)","1961-1990","Very wet days","1960-01-01","2022-12-31",0.48143279107350134,0,-0.05263157894736842,0.017857142857142856,0.9,-0.703999971955953,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-42.11578,171.86014
"Reefton (West Coast)","1961-1990","Rainfall due to very wet days","1960-01-01","2022-12-31",0.5531082341432081,-0.027929345459243,-0.12352606995515437,0.06680244129773819,0.9,-0.5931089604770237,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-42.11578,171.86014
"Reefton (West Coast)","1991-2020","Very wet days","1960-01-01","2022-12-31",0.19545631397307356,-0.027777777777777776,-0.06666666666666667,0,0.9,-1.2946056162378305,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-42.11578,171.86014
"Reefton (West Coast)","1991-2020","Rainfall due to very wet days","1960-01-01","2022-12-31",0.4063394879553033,-0.04825262272263656,-0.1412090309600397,0.051501014396740874,0.9,-0.8303525446678331,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-42.11578,171.86014
"Rotorua (Bay of Plenty)",NA,"Maximum one-day rainfall","1960-01-01","2022-12-31",0.264814396111593,-0.1794871794871795,-0.4642857142857143,0.0857142857142849,0.9,-1.1150840726179154,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-38.10595,176.31485
"Rotorua (Bay of Plenty)","1961-1990","Very wet days","1960-01-01","2022-12-31",0.2534875984117382,-0.017241379310344827,-0.05128205128205128,0,0.9,-1.1419192207559168,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-38.10595,176.31485
"Rotorua (Bay of Plenty)","1961-1990","Rainfall due to very wet days","1960-01-01","2022-12-31",0.20015315137465123,-0.10213633073056094,-0.20708383144181747,0.024081840971435446,0.9,-1.281115354630371,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-38.10595,176.31485
"Rotorua (Bay of Plenty)","1991-2020","Very wet days","1960-01-01","2022-12-31",0.0899997521739982,-0.034482758620689655,-0.06818181818181818,0,0.9,-1.6953990175549227,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-38.10595,176.31485
"Rotorua (Bay of Plenty)","1991-2020","Rainfall due to very wet days","1960-01-01","2022-12-31",0.047593075994362265,-0.140809123986368,-0.2549333014941804,-0.021146464195482488,0.9,-1.980983927993259,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-38.10595,176.31485
"Tara Hills (Canterbury)",NA,"Maximum one-day rainfall","1960-01-01","2022-12-31",0.6016894010968791,-0.054545454545454675,-0.21395348837209302,0.12413793103448281,0.9,-0.5219726102328589,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-44.52612,169.88948
"Tara Hills (Canterbury)","1961-1990","Very wet days","1960-01-01","2022-12-31",0.1532408115596024,0,-0.038461538461538464,0,0.9,-1.428177373206781,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-44.52612,169.88948
"Tara Hills (Canterbury)","1961-1990","Rainfall due to very wet days","1960-01-01","2022-12-31",0.1706538783278632,-0.08480231529488336,-0.22240841579553136,0.014390302341084689,0.9,-1.3701057975840987,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-44.52612,169.88948
"Tara Hills (Canterbury)","1991-2020","Very wet days","1960-01-01","2022-12-31",0.10998335629699363,-0.02,-0.047619047619047616,0,0.9,-1.598267953077873,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-44.52612,169.88948
"Tara Hills (Canterbury)","1991-2020","Rainfall due to very wet days","1960-01-01","2022-12-31",0.08983066538545516,-0.1316789539276982,-0.2442080440256113,-0.0028381070707581557,0.9,-1.6962916269642876,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)",NA,"Maximum one-day rainfall","1960-01-01","2022-12-31",0.17816440064004316,0.16666666666666666,-0.03428571428571416,0.37200000000000016,0.9,1.3464283887885238,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-38.88784,175.25981
"Taumarunui (Manawatū-Whanganui)","1961-1990","Very wet days","1960-01-01","2022-12-31",0.0950436322037859,0.03333333333333333,0,0.06060606060606061,0.9,1.6693722371137336,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-38.88784,175.25981
"Taumarunui (Manawatū-Whanganui)","1961-1990","Rainfall due to very wet days","1960-01-01","2022-12-31",0.14784487472699345,0.06702886756911593,-0.009187715422394247,0.13740484920878465,0.9,1.4471858635639376,"Sen's slope",63,NA,NA,NA,NA,NA,NA,-38.88784,175.25981
