"site","period_start","period_end","reference_period","parameter","data_value","lat","lon"
"Dunedin (Otago)","2022-01-01","2022-12-31","1991-2020","Rainfall due to very wet days",33.99363282631765,-45.90129,170.5147
"Gisborne (Gisborne)","2022-01-01","2022-12-31",NA,"Maximum one-day rainfall",109.2,-38.6586,177.9851
"Gisborne (Gisborne)","2022-01-01","2022-12-31","1961-1990","Very wet days",11,-38.6586,177.9851
"Gisborne (Gisborne)","2022-01-01","2022-12-31","1961-1990","Rainfall due to very wet days",41.71535580524344,-38.6586,177.9851
"Gisborne (Gisborne)","2022-01-01","2022-12-31","1991-2020","Very wet days",10,-38.6586,177.9851
"Gisborne (Gisborne)","2022-01-01","2022-12-31","1991-2020","Rainfall due to very wet days",39.340823970037455,-38.6586,177.9851
"Gore (Southland)","2022-01-01","2022-12-31",NA,"Maximum one-day rainfall",57.6,-46.115,168.887
"Gore (Southland)","2022-01-01","2022-12-31","1961-1990","Very wet days",6,-46.115,168.887
"Gore (Southland)","2022-01-01","2022-12-31","1961-1990","Rainfall due to very wet days",19.57939011566772,-46.115,168.887
"Gore (Southland)","2022-01-01","2022-12-31","1991-2020","Very wet days",6,-46.115,168.887
"Gore (Southland)","2022-01-01","2022-12-31","1991-2020","Rainfall due to very wet days",19.57939011566772,-46.115,168.887
"Hamilton (Waikato)","2022-01-01","2022-12-31",NA,"Maximum one-day rainfall",67.2,-37.86088,175.33175
"Hamilton (Waikato)","2022-01-01","2022-12-31","1961-1990","Very wet days",11,-37.86088,175.33175
"Hamilton (Waikato)","2022-01-01","2022-12-31","1961-1990","Rainfall due to very wet days",32.085561497326204,-37.86088,175.33175
"Hamilton (Waikato)","2022-01-01","2022-12-31","1991-2020","Very wet days",11,-37.86088,175.33175
"Hamilton (Waikato)","2022-01-01","2022-12-31","1991-2020","Rainfall due to very wet days",32.085561497326204,-37.86088,175.33175
"Hokitika (West Coast)","2022-01-01","2022-12-31",NA,"Maximum one-day rainfall",125.4,-42.71228,170.98428
"Hokitika (West Coast)","2022-01-01","2022-12-31","1961-1990","Very wet days",11,-42.71228,170.98428
"Hokitika (West Coast)","2022-01-01","2022-12-31","1961-1990","Rainfall due to very wet days",29.002439778701767,-42.71228,170.98428
"Hokitika (West Coast)","2022-01-01","2022-12-31","1991-2020","Very wet days",10,-42.71228,170.98428
"Hokitika (West Coast)","2022-01-01","2022-12-31","1991-2020","Rainfall due to very wet days",27.194941754578885,-42.71228,170.98428
"Invercargill (Southland)","2022-01-01","2022-12-31",NA,"Maximum one-day rainfall",31.8,-46.41741,168.33052
"Invercargill (Southland)","2022-01-01","2022-12-31","1961-1990","Very wet days",7,-46.41741,168.33052
"Invercargill (Southland)","2022-01-01","2022-12-31","1961-1990","Rainfall due to very wet days",17.718446601941746,-46.41741,168.33052
"Invercargill (Southland)","2022-01-01","2022-12-31","1991-2020","Very wet days",7,-46.41741,168.33052
"Invercargill (Southland)","2022-01-01","2022-12-31","1991-2020","Rainfall due to very wet days",17.718446601941746,-46.41741,168.33052
"Kerikeri (Northland)","2022-01-01","2022-12-31",NA,"Maximum one-day rainfall",128,-35.183,173.926
"Kerikeri (Northland)","2022-01-01","2022-12-31","1961-1990","Very wet days",12,-35.183,173.926
"Kerikeri (Northland)","2022-01-01","2022-12-31","1961-1990","Rainfall due to very wet days",43.08537194208687,-35.183,173.926
"Kerikeri (Northland)","2022-01-01","2022-12-31","1991-2020","Very wet days",12,-35.183,173.926
"Kerikeri (Northland)","2022-01-01","2022-12-31","1991-2020","Rainfall due to very wet days",43.08537194208687,-35.183,173.926
"Lake Tekapo (Canterbury)","2022-01-01","2022-12-31",NA,"Maximum one-day rainfall",59.4,-44.002,170.441
"Lake Tekapo (Canterbury)","2022-01-01","2022-12-31","1961-1990","Very wet days",5,-44.002,170.441
"Lake Tekapo (Canterbury)","2022-01-01","2022-12-31","1961-1990","Rainfall due to very wet days",27.77295105705184,-44.002,170.441
"Lake Tekapo (Canterbury)","2022-01-01","2022-12-31","1991-2020","Very wet days",7,-44.002,170.441
"Lake Tekapo (Canterbury)","2022-01-01","2022-12-31","1991-2020","Rainfall due to very wet days",34.477266145380824,-44.002,170.441
"Masterton (Wellington)","2022-01-01","2022-12-31",NA,"Maximum one-day rainfall",124,-40.957,175.707
"Masterton (Wellington)","2022-01-01","2022-12-31","1961-1990","Very wet days",19,-40.957,175.707
"Masterton (Wellington)","2022-01-01","2022-12-31","1961-1990","Rainfall due to very wet days",54.73505001064056,-40.957,175.707
"Masterton (Wellington)","2022-01-01","2022-12-31","1991-2020","Very wet days",18,-40.957,175.707
"Masterton (Wellington)","2022-01-01","2022-12-31","1991-2020","Rainfall due to very wet days",53.216996524083136,-40.957,175.707
"Milford Sound (Southland)","2022-01-01","2022-12-31",NA,"Maximum one-day rainfall",226.4,-44.67384,167.92406
"Milford Sound (Southland)","2022-01-01","2022-12-31","1961-1990","Very wet days",9,-44.67384,167.92406
"Milford Sound (Southland)","2022-01-01","2022-12-31","1961-1990","Rainfall due to very wet days",24.59001221634028,-44.67384,167.92406
"Milford Sound (Southland)","2022-01-01","2022-12-31","1991-2020","Very wet days",9,-44.67384,167.92406
"Milford Sound (Southland)","2022-01-01","2022-12-31","1991-2020","Rainfall due to very wet days",24.59001221634028,-44.67384,167.92406
"Napier (Hawke's Bay)","2022-01-01","2022-12-31",NA,"Maximum one-day rainfall",86.8,-39.49846,176.91189
"Napier (Hawke's Bay)","2022-01-01","2022-12-31","1961-1990","Very wet days",7,-39.49846,176.91189
"Napier (Hawke's Bay)","2022-01-01","2022-12-31","1961-1990","Rainfall due to very wet days",35.04512916277622,-39.49846,176.91189
"Napier (Hawke's Bay)","2022-01-01","2022-12-31","1991-2020","Very wet days",7,-39.49846,176.91189
"Napier (Hawke's Bay)","2022-01-01","2022-12-31","1991-2020","Rainfall due to very wet days",35.04512916277622,-39.49846,176.91189
"Nelson (Nelson)","2022-01-01","2022-12-31",NA,"Maximum one-day rainfall",98.6,-41.299,173.226
"Nelson (Nelson)","2022-01-01","2022-12-31","1961-1990","Very wet days",8,-41.299,173.226
"Nelson (Nelson)","2022-01-01","2022-12-31","1961-1990","Rainfall due to very wet days",33.89326594321391,-41.299,173.226
"Nelson (Nelson)","2022-01-01","2022-12-31","1991-2020","Very wet days",7,-41.299,173.226
"Nelson (Nelson)","2022-01-01","2022-12-31","1991-2020","Rainfall due to very wet days",31.544522075219263,-41.299,173.226
"New Plymouth (Taranaki)","2022-01-01","2022-12-31",NA,"Maximum one-day rainfall",125,-39.0079,174.18382
"New Plymouth (Taranaki)","2022-01-01","2022-12-31","1961-1990","Very wet days",10,-39.0079,174.18382
"New Plymouth (Taranaki)","2022-01-01","2022-12-31","1961-1990","Rainfall due to very wet days",29.64006259780908,-39.0079,174.18382
"New Plymouth (Taranaki)","2022-01-01","2022-12-31","1991-2020","Very wet days",11,-39.0079,174.18382
"New Plymouth (Taranaki)","2022-01-01","2022-12-31","1991-2020","Rainfall due to very wet days",31.36150234741784,-39.0079,174.18382
"Queenstown (Otago)","2022-01-01","2022-12-31",NA,"Maximum one-day rainfall",43.6,-45.01758,168.74005
"Queenstown (Otago)","2022-01-01","2022-12-31","1961-1990","Very wet days",5,-45.01758,168.74005
"Queenstown (Otago)","2022-01-01","2022-12-31","1961-1990","Rainfall due to very wet days",21.380659586361094,-45.01758,168.74005
"Queenstown (Otago)","2022-01-01","2022-12-31","1991-2020","Very wet days",4,-45.01758,168.74005
"Queenstown (Otago)","2022-01-01","2022-12-31","1991-2020","Rainfall due to very wet days",18.278367803242034,-45.01758,168.74005
"Reefton (West Coast)","2022-01-01","2022-12-31",NA,"Maximum one-day rainfall",166.6,-42.11578,171.86014
"Reefton (West Coast)","2022-01-01","2022-12-31","1961-1990","Very wet days",11,-42.11578,171.86014
"Reefton (West Coast)","2022-01-01","2022-12-31","1961-1990","Rainfall due to very wet days",32.30438605060076,-42.11578,171.86014
"Reefton (West Coast)","2022-01-01","2022-12-31","1991-2020","Very wet days",11,-42.11578,171.86014
"Reefton (West Coast)","2022-01-01","2022-12-31","1991-2020","Rainfall due to very wet days",32.30438605060076,-42.11578,171.86014
"Rotorua (Bay of Plenty)","2022-01-01","2022-12-31",NA,"Maximum one-day rainfall",80.9,-38.10595,176.31485
"Rotorua (Bay of Plenty)","2022-01-01","2022-12-31","1961-1990","Very wet days",10,-38.10595,176.31485
"Rotorua (Bay of Plenty)","2022-01-01","2022-12-31","1961-1990","Rainfall due to very wet days",28.455134985972496,-38.10595,176.31485
"Rotorua (Bay of Plenty)","2022-01-01","2022-12-31","1991-2020","Very wet days",11,-38.10595,176.31485
"Rotorua (Bay of Plenty)","2022-01-01","2022-12-31","1991-2020","Rainfall due to very wet days",30.354596881755047,-38.10595,176.31485
"Tara Hills (Canterbury)","2022-01-01","2022-12-31",NA,"Maximum one-day rainfall",84.2,-44.52612,169.88948
"Tara Hills (Canterbury)","2022-01-01","2022-12-31","1961-1990","Very wet days",5,-44.52612,169.88948
"Tara Hills (Canterbury)","2022-01-01","2022-12-31","1961-1990","Rainfall due to very wet days",29.46834090301897,-44.52612,169.88948
"Tara Hills (Canterbury)","2022-01-01","2022-12-31","1991-2020","Very wet days",6,-44.52612,169.88948
"Tara Hills (Canterbury)","2022-01-01","2022-12-31","1991-2020","Rainfall due to very wet days",32.620892332353726,-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)","2022-01-01","2022-12-31",NA,"Maximum one-day rainfall",76.4,-38.88784,175.25981
"Taumarunui (Manawatū-Whanganui)","2022-01-01","2022-12-31","1961-1990","Very wet days",17,-38.88784,175.25981
"Taumarunui (Manawatū-Whanganui)","2022-01-01","2022-12-31","1961-1990","Rainfall due to very wet days",39.19409628675179,-38.88784,175.25981
"Taumarunui (Manawatū-Whanganui)","2022-01-01","2022-12-31","1991-2020","Very wet days",16,-38.88784,175.25981
"Taumarunui (Manawatū-Whanganui)","2022-01-01","2022-12-31","1991-2020","Rainfall due to very wet days",37.55417594002577,-38.88784,175.25981
"Taupō (Waikato)","2022-01-01","2022-12-31",NA,"Maximum one-day rainfall",118.8,-38.74263,176.08104
"Taupō (Waikato)","2022-01-01","2022-12-31","1961-1990","Very wet days",14,-38.74263,176.08104
"Taupō (Waikato)","2022-01-01","2022-12-31","1961-1990","Rainfall due to very wet days",40.415059199148594,-38.74263,176.08104
"Taupō (Waikato)","2022-01-01","2022-12-31","1991-2020","Very wet days",12,-38.74263,176.08104
"Taupō (Waikato)","2022-01-01","2022-12-31","1991-2020","Rainfall due to very wet days",37.009445257416516,-38.74263,176.08104
"Tauranga (Bay of Plenty)","2022-01-01","2022-12-31",NA,"Maximum one-day rainfall",62.3,-37.673,176.196
"Tauranga (Bay of Plenty)","2022-01-01","2022-12-31","1961-1990","Very wet days",14,-37.673,176.196
"Tauranga (Bay of Plenty)","2022-01-01","2022-12-31","1961-1990","Rainfall due to very wet days",39.745488453732655,-37.673,176.196
"Tauranga (Bay of Plenty)","2022-01-01","2022-12-31","1991-2020","Very wet days",16,-37.673,176.196
"Tauranga (Bay of Plenty)","2022-01-01","2022-12-31","1991-2020","Rainfall due to very wet days",43.97454884537327,-37.673,176.196
"Timaru (Canterbury)","2022-01-01","2022-12-31",NA,"Maximum one-day rainfall",50.6,-44.30517,171.22141
"Timaru (Canterbury)","2022-01-01","2022-12-31","1961-1990","Very wet days",6,-44.30517,171.22141
"Timaru (Canterbury)","2022-01-01","2022-12-31","1961-1990","Rainfall due to very wet days",29.548420777864788,-44.30517,171.22141
"Timaru (Canterbury)","2022-01-01","2022-12-31","1991-2020","Very wet days",6,-44.30517,171.22141
"Timaru (Canterbury)","2022-01-01","2022-12-31","1991-2020","Rainfall due to very wet days",29.548420777864788,-44.30517,171.22141
"Waiouru (Manawatū-Whanganui)","2022-01-01","2022-12-31",NA,"Maximum one-day rainfall",39.4,-39.46249,175.66283
"Waiouru (Manawatū-Whanganui)","2022-01-01","2022-12-31","1961-1990","Very wet days",9,-39.46249,175.66283
"Waiouru (Manawatū-Whanganui)","2022-01-01","2022-12-31","1961-1990","Rainfall due to very wet days",29.062229904926536,-39.46249,175.66283
"Waiouru (Manawatū-Whanganui)","2022-01-01","2022-12-31","1991-2020","Very wet days",7,-39.46249,175.66283
"Waiouru (Manawatū-Whanganui)","2022-01-01","2022-12-31","1991-2020","Rainfall due to very wet days",24.178910976663786,-39.46249,175.66283
"Wellington (Wellington)","2022-01-01","2022-12-31",NA,"Maximum one-day rainfall",127.2,-41.285,174.768
"Wellington (Wellington)","2022-01-01","2022-12-31","1961-1990","Very wet days",11,-41.285,174.768
"Wellington (Wellington)","2022-01-01","2022-12-31","1961-1990","Rainfall due to very wet days",34.49265381083563,-41.285,174.768
"Wellington (Wellington)","2022-01-01","2022-12-31","1991-2020","Very wet days",13,-41.285,174.768
"Wellington (Wellington)","2022-01-01","2022-12-31","1991-2020","Rainfall due to very wet days",38.578971533516984,-41.285,174.768
"Whanganui (Manawatū-Whanganui)","2022-01-01","2022-12-31",NA,"Maximum one-day rainfall",80.2,-39.93704,175.04509
"Whanganui (Manawatū-Whanganui)","2022-01-01","2022-12-31","1961-1990","Very wet days",13,-39.93704,175.04509
"Whanganui (Manawatū-Whanganui)","2022-01-01","2022-12-31","1961-1990","Rainfall due to very wet days",42.53665430136018,-39.93704,175.04509
"Whanganui (Manawatū-Whanganui)","2022-01-01","2022-12-31","1991-2020","Very wet days",12,-39.93704,175.04509
"Whanganui (Manawatū-Whanganui)","2022-01-01","2022-12-31","1991-2020","Rainfall due to very wet days",40.46988164635223,-39.93704,175.04509
"Whangaparāoa (Auckland)","2022-01-01","2022-12-31",NA,"Maximum one-day rainfall",45,-36.606,174.835
"Whangaparāoa (Auckland)","2022-01-01","2022-12-31","1961-1990","Very wet days",7,-36.606,174.835
"Whangaparāoa (Auckland)","2022-01-01","2022-12-31","1961-1990","Rainfall due to very wet days",22.50115366866636,-36.606,174.835
"Whangaparāoa (Auckland)","2022-01-01","2022-12-31","1991-2020","Very wet days",8,-36.606,174.835
"Whangaparāoa (Auckland)","2022-01-01","2022-12-31","1991-2020","Rainfall due to very wet days",25.066912782648824,-36.606,174.835
"Whangārei (Northland)","2022-01-01","2022-12-31",NA,"Maximum one-day rainfall",145.4,-35.769,174.364
"Whangārei (Northland)","2022-01-01","2022-12-31","1961-1990","Very wet days",12,-35.769,174.364
"Whangārei (Northland)","2022-01-01","2022-12-31","1961-1990","Rainfall due to very wet days",43.98308342945021,-35.769,174.364
"Whangārei (Northland)","2022-01-01","2022-12-31","1991-2020","Very wet days",12,-35.769,174.364
"Whangārei (Northland)","2022-01-01","2022-12-31","1991-2020","Rainfall due to very wet days",43.98308342945021,-35.769,174.364
"Auckland (Auckland)","2021-01-01","2021-12-31",NA,"Maximum one-day rainfall",42.2,-37.00813,174.78873
"Auckland (Auckland)","2021-01-01","2021-12-31","1961-1990","Very wet days",4,-37.00813,174.78873
"Auckland (Auckland)","2021-01-01","2021-12-31","1961-1990","Rainfall due to very wet days",16.079494128274614,-37.00813,174.78873
"Auckland (Auckland)","2021-01-01","2021-12-31","1991-2020","Very wet days",4,-37.00813,174.78873
"Auckland (Auckland)","2021-01-01","2021-12-31","1991-2020","Rainfall due to very wet days",16.079494128274614,-37.00813,174.78873
"Blenheim (Marlborough)","2021-01-01","2021-12-31",NA,"Maximum one-day rainfall",47.2,-41.52133,173.86439
"Blenheim (Marlborough)","2021-01-01","2021-12-31","1961-1990","Very wet days",5,-41.52133,173.86439
"Blenheim (Marlborough)","2021-01-01","2021-12-31","1961-1990","Rainfall due to very wet days",22.953289804118533,-41.52133,173.86439
"Blenheim (Marlborough)","2021-01-01","2021-12-31","1991-2020","Very wet days",5,-41.52133,173.86439
"Blenheim (Marlborough)","2021-01-01","2021-12-31","1991-2020","Rainfall due to very wet days",22.953289804118533,-41.52133,173.86439
"Christchurch (Canterbury)","2021-01-01","2021-12-31",NA,"Maximum one-day rainfall",60.6,-43.493,172.537
"Christchurch (Canterbury)","2021-01-01","2021-12-31","1961-1990","Very wet days",5,-43.493,172.537
"Christchurch (Canterbury)","2021-01-01","2021-12-31","1961-1990","Rainfall due to very wet days",33.85922330097087,-43.493,172.537
"Christchurch (Canterbury)","2021-01-01","2021-12-31","1991-2020","Very wet days",5,-43.493,172.537
"Christchurch (Canterbury)","2021-01-01","2021-12-31","1991-2020","Rainfall due to very wet days",33.85922330097087,-43.493,172.537
"Dannevirke (Manawatū-Whanganui)","2021-01-01","2021-12-31",NA,"Maximum one-day rainfall",48.8,-40.21,176.109
"Dannevirke (Manawatū-Whanganui)","2021-01-01","2021-12-31","1961-1990","Very wet days",6,-40.21,176.109
"Dannevirke (Manawatū-Whanganui)","2021-01-01","2021-12-31","1961-1990","Rainfall due to very wet days",26.100821783392618,-40.21,176.109
"Dannevirke (Manawatū-Whanganui)","2021-01-01","2021-12-31","1991-2020","Very wet days",6,-40.21,176.109
"Dannevirke (Manawatū-Whanganui)","2021-01-01","2021-12-31","1991-2020","Rainfall due to very wet days",26.100821783392618,-40.21,176.109
"Dunedin (Otago)","2021-01-01","2021-12-31",NA,"Maximum one-day rainfall",33.6,-45.90129,170.5147
"Dunedin (Otago)","2021-01-01","2021-12-31","1961-1990","Very wet days",4,-45.90129,170.5147
"Dunedin (Otago)","2021-01-01","2021-12-31","1961-1990","Rainfall due to very wet days",19.77980258162491,-45.90129,170.5147
"Dunedin (Otago)","2021-01-01","2021-12-31","1991-2020","Very wet days",3,-45.90129,170.5147
"Dunedin (Otago)","2021-01-01","2021-12-31","1991-2020","Rainfall due to very wet days",16.173120728929387,-45.90129,170.5147
"Gisborne (Gisborne)","2021-01-01","2021-12-31",NA,"Maximum one-day rainfall",95,-38.6586,177.9851
"Gisborne (Gisborne)","2021-01-01","2021-12-31","1961-1990","Very wet days",7,-38.6586,177.9851
"Gisborne (Gisborne)","2021-01-01","2021-12-31","1961-1990","Rainfall due to very wet days",37.93997776954428,-38.6586,177.9851
"Gisborne (Gisborne)","2021-01-01","2021-12-31","1991-2020","Very wet days",6,-38.6586,177.9851
"Gisborne (Gisborne)","2021-01-01","2021-12-31","1991-2020","Rainfall due to very wet days",34.90181548721749,-38.6586,177.9851
"Gore (Southland)","2021-01-01","2021-12-31",NA,"Maximum one-day rainfall",28.2,-46.115,168.887
"Gore (Southland)","2021-01-01","2021-12-31","1961-1990","Very wet days",5,-46.115,168.887
"Gore (Southland)","2021-01-01","2021-12-31","1961-1990","Rainfall due to very wet days",13.548224628557037,-46.115,168.887
"Gore (Southland)","2021-01-01","2021-12-31","1991-2020","Very wet days",5,-46.115,168.887
"Gore (Southland)","2021-01-01","2021-12-31","1991-2020","Rainfall due to very wet days",13.548224628557037,-46.115,168.887
"Hamilton (Waikato)","2021-01-01","2021-12-31",NA,"Maximum one-day rainfall",53.8,-37.86088,175.33175
"Hamilton (Waikato)","2021-01-01","2021-12-31","1961-1990","Very wet days",8,-37.86088,175.33175
"Hamilton (Waikato)","2021-01-01","2021-12-31","1961-1990","Rainfall due to very wet days",24.56974266513686,-37.86088,175.33175
"Hamilton (Waikato)","2021-01-01","2021-12-31","1991-2020","Very wet days",8,-37.86088,175.33175
"Hamilton (Waikato)","2021-01-01","2021-12-31","1991-2020","Rainfall due to very wet days",24.56974266513686,-37.86088,175.33175
"Hokitika (West Coast)","2021-01-01","2021-12-31",NA,"Maximum one-day rainfall",117,-42.71228,170.98428
"Hokitika (West Coast)","2021-01-01","2021-12-31","1961-1990","Very wet days",11,-42.71228,170.98428
"Hokitika (West Coast)","2021-01-01","2021-12-31","1961-1990","Rainfall due to very wet days",23.295437319993937,-42.71228,170.98428
"Hokitika (West Coast)","2021-01-01","2021-12-31","1991-2020","Very wet days",10,-42.71228,170.98428
"Hokitika (West Coast)","2021-01-01","2021-12-31","1991-2020","Rainfall due to very wet days",21.70077307867212,-42.71228,170.98428
"Invercargill (Southland)","2021-01-01","2021-12-31",NA,"Maximum one-day rainfall",27.3,-46.41741,168.33052
"Invercargill (Southland)","2021-01-01","2021-12-31","1961-1990","Very wet days",5,-46.41741,168.33052
"Invercargill (Southland)","2021-01-01","2021-12-31","1961-1990","Rainfall due to very wet days",11.178824813534655,-46.41741,168.33052
"Invercargill (Southland)","2021-01-01","2021-12-31","1991-2020","Very wet days",6,-46.41741,168.33052
"Invercargill (Southland)","2021-01-01","2021-12-31","1991-2020","Rainfall due to very wet days",13.03438239039476,-46.41741,168.33052
"Kerikeri (Northland)","2021-01-01","2021-12-31",NA,"Maximum one-day rainfall",136.6,-35.183,173.926
"Kerikeri (Northland)","2021-01-01","2021-12-31","1961-1990","Very wet days",10,-35.183,173.926
"Kerikeri (Northland)","2021-01-01","2021-12-31","1961-1990","Rainfall due to very wet days",37.80611212305202,-35.183,173.926
"Kerikeri (Northland)","2021-01-01","2021-12-31","1991-2020","Very wet days",8,-35.183,173.926
"Kerikeri (Northland)","2021-01-01","2021-12-31","1991-2020","Rainfall due to very wet days",32.88807933616676,-35.183,173.926
"Lake Tekapo (Canterbury)","2021-01-01","2021-12-31",NA,"Maximum one-day rainfall",100.5,-44.002,170.441
"Lake Tekapo (Canterbury)","2021-01-01","2021-12-31","1961-1990","Very wet days",5,-44.002,170.441
"Lake Tekapo (Canterbury)","2021-01-01","2021-12-31","1961-1990","Rainfall due to very wet days",32.284150286140836,-44.002,170.441
"Lake Tekapo (Canterbury)","2021-01-01","2021-12-31","1991-2020","Very wet days",8,-44.002,170.441
"Lake Tekapo (Canterbury)","2021-01-01","2021-12-31","1991-2020","Rainfall due to very wet days",40.930579746205524,-44.002,170.441
"Masterton (Wellington)","2021-01-01","2021-12-31",NA,"Maximum one-day rainfall",40.8,-40.957,175.707
"Masterton (Wellington)","2021-01-01","2021-12-31","1961-1990","Very wet days",10,-40.957,175.707
"Masterton (Wellington)","2021-01-01","2021-12-31","1961-1990","Rainfall due to very wet days",39.29747530186608,-40.957,175.707
"Masterton (Wellington)","2021-01-01","2021-12-31","1991-2020","Very wet days",10,-40.957,175.707
"Masterton (Wellington)","2021-01-01","2021-12-31","1991-2020","Rainfall due to very wet days",39.29747530186608,-40.957,175.707
"Milford Sound (Southland)","2021-01-01","2021-12-31",NA,"Maximum one-day rainfall",197.6,-44.67384,167.92406
"Milford Sound (Southland)","2021-01-01","2021-12-31","1961-1990","Very wet days",10,-44.67384,167.92406
"Milford Sound (Southland)","2021-01-01","2021-12-31","1961-1990","Rainfall due to very wet days",21.10733182161754,-44.67384,167.92406
"Milford Sound (Southland)","2021-01-01","2021-12-31","1991-2020","Very wet days",9,-44.67384,167.92406
"Milford Sound (Southland)","2021-01-01","2021-12-31","1991-2020","Rainfall due to very wet days",19.372008062484255,-44.67384,167.92406
"Napier (Hawke's Bay)","2021-01-01","2021-12-31",NA,"Maximum one-day rainfall",43.6,-39.49846,176.91189
"Napier (Hawke's Bay)","2021-01-01","2021-12-31","1961-1990","Very wet days",3,-39.49846,176.91189
"Napier (Hawke's Bay)","2021-01-01","2021-12-31","1961-1990","Rainfall due to very wet days",18.95187870797627,-39.49846,176.91189
"Napier (Hawke's Bay)","2021-01-01","2021-12-31","1991-2020","Very wet days",3,-39.49846,176.91189
"Napier (Hawke's Bay)","2021-01-01","2021-12-31","1991-2020","Rainfall due to very wet days",18.95187870797627,-39.49846,176.91189
"Nelson (Nelson)","2021-01-01","2021-12-31",NA,"Maximum one-day rainfall",69.6,-41.299,173.226
"Nelson (Nelson)","2021-01-01","2021-12-31","1961-1990","Very wet days",8,-41.299,173.226
"Nelson (Nelson)","2021-01-01","2021-12-31","1961-1990","Rainfall due to very wet days",32.98552675866711,-41.299,173.226
"Nelson (Nelson)","2021-01-01","2021-12-31","1991-2020","Very wet days",8,-41.299,173.226
"Nelson (Nelson)","2021-01-01","2021-12-31","1991-2020","Rainfall due to very wet days",32.98552675866711,-41.299,173.226
"New Plymouth (Taranaki)","2021-01-01","2021-12-31",NA,"Maximum one-day rainfall",43,-39.0079,174.18382
"New Plymouth (Taranaki)","2021-01-01","2021-12-31","1961-1990","Very wet days",6,-39.0079,174.18382
"New Plymouth (Taranaki)","2021-01-01","2021-12-31","1961-1990","Rainfall due to very wet days",14.811057570377884,-39.0079,174.18382
"New Plymouth (Taranaki)","2021-01-01","2021-12-31","1991-2020","Very wet days",8,-39.0079,174.18382
"New Plymouth (Taranaki)","2021-01-01","2021-12-31","1991-2020","Rainfall due to very wet days",18.906923662186152,-39.0079,174.18382
"Queenstown (Otago)","2021-01-01","2021-12-31",NA,"Maximum one-day rainfall",45.8,-45.01758,168.74005
"Queenstown (Otago)","2021-01-01","2021-12-31","1961-1990","Very wet days",6,-45.01758,168.74005
"Queenstown (Otago)","2021-01-01","2021-12-31","1961-1990","Rainfall due to very wet days",23.37726933598607,-45.01758,168.74005
"Queenstown (Otago)","2021-01-01","2021-12-31","1991-2020","Very wet days",5,-45.01758,168.74005
