"rate_C_year","location","lat","long","spatial_extent","method_LSWT","method_LSWT_standard","method_trend","aggregation_mean_min_max_etc","annual_seasonal_data","temporal_aggregation","n_lakes","n_years","min_year","max_year","paper_source","citation","citation_short","journal","other.notes.","link","comment.from.Whitney","comment.on.comparing.studies","reviewer.1","n_reviewers","all_reviewers"
"0.05","Poland",54.05407016,21.89012957,"country","Air2Water model (Piccolroaz, S. Prediction of lake surface temperature using the air2water model: Guidelines, challenges, and future perspectives. Adv. Oceanogr. Limnol. 2016, 7, 1.)","modelled","Sen's slope (mk R package)","mean","annual","annual","2",69,1954,2023,"","Ptak, M., Amnuaylojaroen, T., & Sojka, M. (2024). Seven Decades of Surface Temperature Changes in Central European Lakes: What Is Next?. Resources, 13(11), 149.","Ptak et al. 2024","MDPI: Resources","Table 4 for all year-to-year configurations","https://www.mdpi.com/2079-9276/13/11/149#B23-resources-13-00149","",NA,"WW",2,"WW, CB"
"0.044","Polish lowland lakes",53.62031508,18.70476291,"country","daily in situ measurements","in situ","Mann Kendall trend test and Sen's slope, correlation coefficient btw LSWT and air temp","mean","annual","annual","25",29,1987,2016,"","Wang, R., Dong, W., Sun, J., Sojka, M., Ptak, M., & Zhu, S. (2025). Long-Term Trends of Lake Surface Water Temperatures in Lowland Polish Temperate Lakes [Article]. Atmosphere, 16(2), Article 120. https://doi.org/10.3390/atmos16020120 ","Wang et al. 2025","Atmosphere (MDPI)","showed different trends between annual mean and annual max, focus on differences across seasons, as well as relationship between water and air temperature","https://www.mdpi.com/2073-4433/16/2/120","",NA,"WW",2,"WW, MP"
"0.026","Tibetan Plateau",31.67525563,87.80117456,"region","MODIS/Terra 8 day LST ","satellite","linear regression","mean","annual","annual","169",15,2001,2016,"google scholar","Xie, C., Zhang, X., Zhuang, L., Zhu, R., & Guo, J. (2022). Analysis of surface temperature variation of lakes in China using MODIS land surface temperature data. Scientific Reports, 12(1), 2415.","Xie et al. 2022","Scientific Reports","also do a driver analysis: found that LSWT primarily driven by lat/long/altitude, with SA and vol as mediators","https://www.nature.com/articles/s41598-022-06363-9","OR, MS",NA,"WW",3,"WW, MS, OR"
"0.05","Lake Chaohu",31.56559281,117.6582551,"point","modelled (GLM)","modelled","linear regression","mean","annual","annual","1",36,1980,2016,"google scholar","Zhang, X., Wang, K., Frassl, M. A., & Boehrer, B. (2020). Reconstructing six decades of surface temperatures at a shallow lake. Water, 12(2), 405.","Zhang et al. 2020","MDPI: Water","have insitu and MODIS data which were used to calibrate GLM but do not report trends on these data","https://www.mdpi.com/2073-4441/12/2/405","MS",NA,"WW",2,"WW, MS"
"0.035","Europe",55.68930227,14.86411692,"region","in situ sensor","in situ","linear regression","minimum","summer","summer","8",41,1973,2014,"google scholar","Woolway, R. I., Weyhenmeyer, G. A., Schmid, M., Dokulil, M. T., de Eyto, E., Maberly, S. C., ... & Merchant, C. J. (2019). Substantial increase in minimum lake surface temperatures under climate change. Climatic Change, 155, 81-94.","Woolway et al. 2019","Climate Change","","https://link-springer-com.ezproxy.waikato.ac.nz/article/10.1007/s10584-019-02465-y","",NA,"WW",3,"WW, OR, MP"
"0.032","Europe",55.68930227,14.86411692,"region","in situ sensor","in situ","linear regression","mean","summer","summer","8",41,1973,2014,"google scholar","Woolway, R. I., Weyhenmeyer, G. A., Schmid, M., Dokulil, M. T., de Eyto, E., Maberly, S. C., ... & Merchant, C. J. (2019). Substantial increase in minimum lake surface temperatures under climate change. Climatic Change, 155, 81-94.","Woolway et al. 2019","Climate Change","","https://link-springer-com.ezproxy.waikato.ac.nz/article/10.1007/s10584-019-02465-y","",NA,"WW",3,"WW, OR, MP"
"0.059","Lake Taihu",31.20825164,120.1595516,"point","MODIS","satellite","linear regression","mean","summer","summer","1",11,2002,2013,"google scholar","Liu, G., Ou, W., Zhang, Y., Wu, T., Zhu, G., Shi, K., & Qin, B. (2015). Validating and mapping surface water temperatures in Lake Taihu: Results from MODIS land surface temperature products. IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing, 8(3), 1230-1244.","Liu et al. 2015","IEEE","nighttime","https://ieeexplore.ieee.org/abstract/document/7008836","",NA,"WW",2,"WW, MS"
"0.01","Lake Giles",71.377,-75.093,"point","in situ sensor","in situ","Sen's slope","none","summer","summer","1",26,1988,2014,"google scholar","Pilla, R. M., Williamson, C. E., Zhang, J., Smyth, R. L., Lenters, J. D., Brentrup, J. A., ... & Fisher, T. J. (2018). Browning?related decreases in water transparency lead to long?term increases in surface water temperature and thermal stratification in two small lakes. Journal of Geophysical Research: Biogeosciences, 123(5), 1651-1665.","Pilla et al. 2015","JGR Biogeosciences","one profile taken per year in July, temperature taken from 2m depth","https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2017JG004321","",NA,"WW",2,"WW, MP"
"0.077","Lake Lacawac",41.382,-75.292,"point","in situ sensor","in situ","Sen's slope","none","summer","summer","1",26,1988,2014,"google scholar","Pilla, R. M., Williamson, C. E., Zhang, J., Smyth, R. L., Lenters, J. D., Brentrup, J. A., ... & Fisher, T. J. (2018). Browning?related decreases in water transparency lead to long?term increases in surface water temperature and thermal stratification in two small lakes. Journal of Geophysical Research: Biogeosciences, 123(5), 1651-1665.","Pilla et al. 2015","JGR Biogeosciences","one profile taken per year in July, temperature taken from 2m depth","https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2017JG004321","",NA,"WW",2,"WW, MP"
"0.032","Tibetan Plateau",34,79,"region","modelled (WRF-Lake)","modelled","linear regression","mean","summer","summer","81",38,1980,2018,"google scholar","Shi, Y., Huang, A., Wu, Y., Lazhu, & Wen, L. (2024). Trends of Summer Lake Surface Water Temperature on the Tibetan Plateau and Their Response to Climate Change. Earth and Space Science, 11(12), e2024EA003910.","Shi et al. 2024","Earth and Space Science","used MODIS to validate model, assumed they took summer mean and performed linear regression but not explicitly stated","https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2024EA003910","OR, MS",NA,"WW",4,"WW, MS, OR, MP"
"0.04","China",34.34110332,103.527215,"region","modelled (FLake)","modelled","Sen's slope","mean","annual","annual","91",39,1979,2018,"google scholar","Huang, L., Wang, X., Yan, Y., Jin, L., Yang, K., Chen, A., ... & Piao, S. (2023). Attribution of lake surface water temperature change in large lakes across China over past four decades. Journal of Geophysical Research: Atmospheres, 128(21), e2022JD038465.","Huang et al. 2023","JGR Atmospheres","","https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2022JD038465","OR, MS",NA,"WW",3,"WW, MS, MP"
"0.024","global",32,-35,"global","modelled (FLake)","modelled","linear regression","mean","annual","annual","92245",39,1981,2020,"google scholar","Tong, Y., Feng, L., Wang, X., Pi, X., Xu, W., & Woolway, R. I. (2023). Global lakes are warming slower than surface air temperature due to accelerated evaporation. Nature Water, 1(11), 929-940.","Tong et al. 2023","Nature Water","","https://www.nature.com/articles/s44221-023-00148-8","",NA,"WW",2,"WW, MP"
"0.004","Dianchi Lake",24.85521062,102.6957059,"point","MODIS","satellite","linear regression","maximum","annual","annual","1",18,2001,2018,"google scholar","Yang, J., Yang, K., Zhang, Y., Luo, Y., & Shang, C. (2022). Maximum lake surface water temperatures changing characteristics under climate change. Environmental Science and Pollution Research, 29(2), 2547-2554.","Yang et al. 2021","Environmental Science and Pollution Research","","https://link.springer.com/article/10.1007/s11356-021-15621-8","",NA,"WW",2,"WW, OR"
"0.058","Europe",55.68930227,14.86411692,"region","observational data","in situ","non-parametric Mann-Kendall Test","maximum","annual","annual","10",49,1966,2015,"google scholar","Dokulil, M. T., de Eyto, E., Maberly, S. C., May, L., Weyhenmeyer, G. A., & Woolway, R. I. (2021). Increasing maximum lake surface temperature under climate change. Climatic Change , 165 (3), 56. https://doi.org/10.1007/s10584-021-03085-1","Dokulil et al. 2021","Climate Change","cited in another paper","Increasing maximum lake surface temperature under climate change | Climatic Change","",NA,"WW",3,"WW, OR, MP"
"0.024","Global",0,-153.6,"global","satellite","satellite","","mean","summer","summer","681",20,1996,2015,"google scholar","Woolway, R. I., Carrea, L., Merchant, C. J., Dokulil, M. T., de Eyto, E., DeGasperi, C. L., ... & Weyhenmeyer, G. A. (2018). Lake surface temperature [in State of the Climate in 2017]. Bulletin of the American Meteorological Society, 99(8), S13-15.","Woolway et al., 2017","Bulletin of the American Meteorological Society","NOTE: WW decided to delete the northern and southern hemisphere entries, as well as great lakes and keep only the global estimate","https://centaur.reading.ac.uk/72001/1/Woolway_etal_SotC_2017.pdf","",NA,"MA",2,"MA, CB"
"0.018","Southeast Asia",16.37239748,103.0765376,"region","satellite","satellite","Mann-Kendall, Sen's approach","mean","annual (day)","annual","80",34,1986,2020,"Scopuis","Virdis, S. G. P., Kongwarakom, S., Juneng, L., Padedda, B. M., & Shrestha, S. (2024). Historical and projected response of Southeast Asian lakes surface water temperature to warming climate. Environmental Research, 247, 118412.","Virdis et al., 2024","Environmental Research","","Historical and projected response of Southeast Asian lakes surface water temperature to warming climate - ScienceDirect","",NA,"MA",2,"MA, MP"
"0.013","Southeast Asia",16.37239748,103.0765376,"region","satellite","satellite","Mann-Kendall, Sen's approach","mean","annual (night)","annual (night)","80",34,1986,2020,"Scopus","Virdis, S. G. P., Kongwarakom, S., Juneng, L., Padedda, B. M., & Shrestha, S. (2024). Historical and projected response of Southeast Asian lakes surface water temperature to warming climate. Environmental Research, 247, 118412.","Virdis et al., 2024","Environmental Research","","Historical and projected response of Southeast Asian lakes surface water temperature to warming climate - ScienceDirect","",NA,"MA",2,"MA, MP"
"0.037","Poland",53.70041097,18.4670487,"country","satellite  ","satellite","linear regression","","annual","annual","10",34,1971,2005,"google scholar","Czernecki, B., & Ptak, M. (2018). The impact of global warming on lake surface water temperature in Poland-the application of empirical-statistical downscaling, 1971-2100. Journal of Limnology, 77(2).","Czernecki et al., 2018","Journal of Limnology","","Layout 1","",NA,"MA",3,"MA, OR, MP"
"0.042","Yunnan-Guizhou Plateau",27,105,"region","MOD11A2 remote-sensing images","satellite","Theil-Sen slope","mean","annual (day)","annual","11",17,2001,2018,"GoogleScholar","Yang, K., Yu, Z., & Luo, Y. (2020). Analysis on driving factors of lake surface water temperature for major lakes in Yunnan-Guizhou Plateau. Water Research, 184, 116018.","Yang et al., 2020","Water Research","split into night and day temperatures, numbers are day","https://www.sciencedirect.com/science/article/pii/S0043135420305558","",NA,"MS",3,"MS, OR, MP"
"0.019","Yunnan-Guizhou Plateau",27,105,"region","MOD11A2 remote-sensing images","satellite","Theil-Sen slope","mean","annual (night)","annual (night)","11",17,2001,2018,"GoogleScholar","Yang, K., Yu, Z., & Luo, Y. (2020). Analysis on driving factors of lake surface water temperature for major lakes in Yunnan-Guizhou Plateau. Water Research, 184, 116018.","Yang et al., 2020","Water Research","split into night and day temperatures, numbers are day","https://www.sciencedirect.com/science/article/pii/S0043135420305558","",NA,"MS",3,"MS, OR, MP"
"0.037","Tibetan Plateau",31.67525563,87.80117456,"region","MODIS","satellite","linear regression across the annual/seasonal mean","mean","annual (day)","annual","374",14,2001,2015,"GoogleScholar","Wan, W., Zhao, L., Xie, H., Liu, B., Li, H., Cui, Y., ... & Hong, Y. (2018). Lake surface water temperature change over the Tibetan plateau from 2001 to 2015: A sensitive indicator of the warming climate. Geophysical Research Letters, 45(20), 11-177.","Wan et al., 2018","Geophysical Research Letters","Study conducted on occupied country by researchers from metropole. I'd argue we shouldn't consider it for ethical reasons.","https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2018GL078601","",NA,"MS",3,"WW, MS, MP"
"0.04","China",34.34110332,103.527215,"region","Simulation, modelling","modelled","Theil-Sen method","mean","annual","annual","91",39,1979,2018,"scholar/scopus","Huang, L., Wang, X., Yan, Y., Jin, L., Yang, K., Chen, A., ... & Piao, S. (2023). Attribution of lake surface water temperature change in large lakes across China over past four decades. Journal of Geophysical Research: Atmospheres, 128(21), e2022JD038465.","Huang et al., 2023","Journal of Geophysical Research: Atmospheres","","https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2022JD038465","",NA,"MS",3,"WW, MS, MP"
"0.05","China",34.34110332,103.527215,"region","Simulation, modelling","modelled","Theil-Sen method","mean","seasonal","winter","91",39,1979,2018,"scholar/scopus","Huang, L., Wang, X., Yan, Y., Jin, L., Yang, K., Chen, A., ... & Piao, S. (2023). Attribution of lake surface water temperature change in large lakes across China over past four decades. Journal of Geophysical Research: Atmospheres, 128(21), e2022JD038465.","Huang et al., 2023","Journal of Geophysical Research: Atmospheres","","https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2022JD038465","",NA,"MS",3,"WW, MS, MP"
"0.041","China",34.34110332,103.527215,"region","Simulation, modelling","modelled","Theil-Sen method","mean","seasonal","spring","91",39,1979,2018,"scholar/scopus","Huang, L., Wang, X., Yan, Y., Jin, L., Yang, K., Chen, A., ... & Piao, S. (2023). Attribution of lake surface water temperature change in large lakes across China over past four decades. Journal of Geophysical Research: Atmospheres, 128(21), e2022JD038465.","Huang et al., 2023","Journal of Geophysical Research: Atmospheres","","https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2022JD038465","",NA,"MS",3,"WW, MS, MP"
"0.038","China",34.34110332,103.527215,"region","Simulation, modelling","modelled","Theil-Sen method","mean","seasonal","autumn","91",39,1979,2018,"scholar/scopus","Huang, L., Wang, X., Yan, Y., Jin, L., Yang, K., Chen, A., ... & Piao, S. (2023). Attribution of lake surface water temperature change in large lakes across China over past four decades. Journal of Geophysical Research: Atmospheres, 128(21), e2022JD038465.","Huang et al., 2023","Journal of Geophysical Research: Atmospheres","","https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2022JD038465","",NA,"MS",3,"WW, MS, MP"
"0.029","China",34.34110332,103.527215,"region","Simulation, modelling","modelled","Theil-Sen method","mean","seasonal","summer","91",39,1979,2018,"scholar/scopus","Huang, L., Wang, X., Yan, Y., Jin, L., Yang, K., Chen, A., ... & Piao, S. (2023). Attribution of lake surface water temperature change in large lakes across China over past four decades. Journal of Geophysical Research: Atmospheres, 128(21), e2022JD038465.","Huang et al., 2023","Journal of Geophysical Research: Atmospheres","","https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2022JD038465","",NA,"MS",3,"WW, MS, MP"
"0.059","Lake Taihu",31.23,120.13,"point","MODIS","satellite","linear regression","mean","annual (night)","annual (night)","1",11,2002,2013,"GoogleScholar","Liu, G., Ou, W., Zhang, Y., Wu, T., Zhu, G., Shi, K., & Qin, B. (2015). Validating and mapping surface water temperatures in Lake Taihu: Results from MODIS land surface temperature products. IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing, 8(3), 1230-1244.","Liu et al., 2015","IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing","night time temperatures","https://ieeexplore.ieee.org/abstract/document/7008836","",NA,"MS",2,"WW, MS"
"0.032","Tibetan Plateau",31.67525563,87.80117456,"region","MOD11A1; Wan et al., 2015","satellite","linear regression","mean","annual","annual","81",38,1980,2018,"GoogleScholar","Shi, Y., Huang, A., Wu, Y., Lazhu, & Wen, L. (2024). Trends of Summer Lake Surface Water Temperature on the Tibetan Plateau and Their Response to Climate Change. Earth and Space Science, 11(12), e2024EA003910.","Shi et al., 2024","Earth and Space Science","Study conducted on occupied country by researchers from metropole. I'd argue we shouldn't consider it for ethical reasons.","https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2024EA003910","please clarify which season the rate was calculated in (summer, spring, etc.) and add a method for trend calculations (if it's not listed, it's usually a linear regression)",NA,"MS",4,"WW, MS, OR, MP"
"0.026","China",34.34110332,103.527215,"region","MODIS","satellite","linear regression","mean","annual","annual","169",15,2001,2016,"GoogleScholar","Xie, C., Zhang, X., Zhuang, L., Zhu, R., & Guo, J. (2022). Analysis of surface temperature variation of lakes in China using MODIS land surface temperature data. Scientific Reports, 12(1), 2415.","Xie et al., 2022","Scientific Reports","report also diurnal data","https://www.nature.com/articles/s41598-022-06363-9","",NA,"MS",3,"WW, MS, OR"
"0.29","Yunnan-Guizhou Plateau",26,105,"region","MOD11A2 and simulated using (BPANN)","satellite","Mann-Kendall","mean","annual","annual","11",18,2001,2019,"GoogleScholar","Yu, Z., Yang, K., Luo, Y., Shang, C., & Zhu, Y. (2020). Lake surface water temperature prediction and changing characteristics analysis-A case study of 11 natural lakes in Yunnan-Guizhou Plateau. Journal of Cleaner Production, 276, 122689.","Yu et al., 2020","Journal of Cleaner Production","","https://www.sciencedirect.com/science/article/pii/S0959652620327360","",NA,"MS",2,"MS, OR"
"0.005","Lake Chaohu",31.53,117.52,"point","MODIS, in-situ","satellite","linear regression","mean","annual","annual","1",56,1960,2016,"scholar/scopus","Zhang, X., Wang, K., Frassl, M. A., & Boehrer, B. (2020). Reconstructing six decades of surface temperatures at a shallow lake. Water, 12(2), 405.","Zhang et al., 2020","Water (Switzerland)","","https://www.mdpi.com/2073-4441/12/2/405","",NA,"MS",2,"WW, MS"
"0.038","Patagonia Ice Field",-52.7764716,-72.63186592,"region","MOD11A2 and MYD11A2","satellite","linear regression","mean","annual","annual","3",20,2002,2022,"Scopus","Zhao, S., Sun, H., Cheng, J., & Zhang, G. (2025). Water Surface Temperature Dynamics of the Three Largest Ice-Contact Lakes in the Patagonia Icefield over the Last 20 Years [Article]. Water (Switzerland), 17(3), Article 385. https://doi.org/10.3390/w17030385 ","Zhao et al., 2025","Water (Switzerland)","","https://www.mdpi.com/2073-4441/17/3/385","",NA,"MS",2,"MS, MP"
"0.01","Dianchi Lake",24.83,102.69,"point","MOD11A2, ASTER GDEM V2, Landsat-8 OLI, meteorological station data, and in situ measurement data","satellite","Mann-Kendall","mean","annual (day)","annual","1",17,2001,2018,"Scopus","Zhao, Y., Yang, K., Luo, Y., & Yu, Z. (2022). Spatialtemporal characteristics of surface thermal environment and its effect on Lake surface water temperature in Dianchi Lake basin. Frontiers in Ecology and Evolution, 10. https://doi.org/10.3389/fevo.2022.984692","Zhao et al., 2022","Frontiers in Ecology and Evolution","","https://www.frontiersin.org/journals/ecology-and-evolution/articles/10.3389/fevo.2022.984692/full","",NA,"MS",2,"MS, OR"
"0.02","Dianchi Lake",24.83,102.69,"point","MOD11A2, ASTER GDEM V2, Landsat-8 OLI, meteorological station data, and in situ measurement data","satellite","Mann-Kendall","mean","annual (night)","annual (night)","1",17,2001,2018,"Scopus","Zhao, Y., Yang, K., Luo, Y., & Yu, Z. (2022). Spatialtemporal characteristics of surface thermal environment and its effect on Lake surface water temperature in Dianchi Lake basin. Frontiers in Ecology and Evolution, 10. https://doi.org/10.3389/fevo.2022.984692","Zhao et al., 2022","Frontiers in Ecology and Evolution","","https://www.frontiersin.org/journals/ecology-and-evolution/articles/10.3389/fevo.2022.984692/full","",NA,"MS",2,"MS, OR"
"0.035","Poland",53.70041097,18.4670487,"country","direct measurements, Air2Water model","modelled and in situ","Mann-Kendall, Sen's approach","mean","annual","annual","6",29,1994,2023,"google scholar","Ptak, M., Sojka, M., Szyga-Pluta, K., Baloch, M. Y. J., & Amnuaylojaroen, T. (2025). Is Everything Lost? Recreating the Surface Water Temperature of Unmonitored Lakes in Poland [Article]. Resources, 14(4), Article 67. https://doi.org/10.3390/resources14040067 ","Ptak et al., 2025","Resource (MDPI)","","Is Everything Lost? Recreating the Surface Water Temperature of Unmonitored Lakes in Poland","can you clarify why there are two entries for this paper with two different rates?",NA,"MA",3,"MA, MP, CB"
"0.05","Poland",53.70041097,18.4670487,"country","direct measurements, Air2Water model","modelled and in situ","Mann-Kendall, Sen's approach","mean","summer","summer","6",29,1994,2023,"google scholar","Ptak, M., Sojka, M., Szyga-Pluta, K., Baloch, M. Y. J., & Amnuaylojaroen, T. (2025). Is Everything Lost? Recreating the Surface Water Temperature of Unmonitored Lakes in Poland [Article]. Resources, 14(4), Article 67. https://doi.org/10.3390/resources14040067 ","Ptak et al., 2025","Resource (MDPI)","","Is Everything Lost? Recreating the Surface Water Temperature of Unmonitored Lakes in Poland","",NA,"MA",3,"MA, MP, CB"
"0.041","Finland",61.9241,25.7482,"country","direct measurements, GAM model","modelled and in situ","Mann-Kendall, Sen's approach","mean","summer","summer","1",37,1984,2021,"google scholar","Noori, R., Woolway, R. I., Jun, C., Bateni, S. M., Naderian, D., Partani, S., ... & Pulkkanen, M. (2023). Multi-decadal change in summer mean water temperature in Lake Konnevesi, Finland (19842021). Ecological Informatics, 78, 102331.","Noori et al., 2023","Ecological Information","predictor variables = summer mean air temp, solar radiation, near-surface wind speed, ice departure date","Multi-decadal change in summer mean water temperature in Lake Konnevesi, Finland (19842021) - ScienceDirect","",NA,"MA",2,"MA, CB"
