citation,reviewer.1,reviewer.2
"Stefanidis, K., Varlas, G., Papaioannou, G., Papadopoulos, A., & Dimitriou, E. (2022). Trends of lake temperature, mixing depth and ice cover thickness of European lakes during the last four decades. Science of the Total Environment, 830, 154709.",MA,MS
"Anderson, E.J., Stow, C.A., Gronewold, A.D. et al. Seasonal overturn and stratification changes drive deep-water warming in one of Earths largest lakes. Nat Commun 12, 1688 (2021). https://doi.org/10.1038/s41467-021-21971-1",MS,MA
"Kishcha, P., Starobinets, B., Lechinsky, Y., & Alpert, P. (2021). Absence of surface water temperature trends in lake kinneret despite present atmospheric warming: Comparisons with dead sea trends. Remote Sensing (Basel, Switzerland), 13(17), 3461-. https://doi.org/10.3390/rs13173461",MS,WW
"Mushtaq, F., Ahmed, P., & Nee Lala, M. G. (2020). Variability of lake surface water temperature: a case study during El Nino and La Nina events over the Himalayan lake region. Physical Geography, 42(3), 240264. https://doi.org/10.1080/02723646.2020.1751386",MS,BM
"Tang, Linfeng & Yang, Kun & Shang, Chunxue & Peng, Zongqi & Luo, Yi. (2022). Spatial impact of urban expansion on lake surface water temperature based on the perspective of watershed scale. Frontiers in Environmental Science. 10. 10.3389/fenvs.2022.991502. ",MS,CB
"Virdis, S. G. P., Soodcharoen, N., Lugliè, A., & Padedda, B. M. (2020). Estimation of satellite-derived lake water surface temperatures in the western Mediterranean: Integrating multi-source, multi-resolution imagery and a long-term field dataset using a time series approach. The Science of the total environment, 707, 135567. https://doi.org/10.1016/j.scitotenv.2019.135567",MS,MP
"Wen, L., Wang, C., Li, Z., Zhao, L., Lyu, S., Leppäranta, M., ... & Chen, S. (2022). Thermal responses of the largest freshwater lake in the Tibetan Plateau and its nearby saline lake to climate change. Remote Sensing, 14(8), 1774.",MA,MP
"Schneider, P., & Hook, S. J. (2010). Space observations of inland water bodies show rapid surface warming since 1985. Geophysical Research Letters, 37(22).",OR,MS
"Schneider, P., Hook, S. J., Radocinski, R. G., Corlett, G. K., Hulley, G. C., Schladow, S. G., & Steissberg, T. E. (2009). Satellite observations indicate rapid warming trend for lakes in California and Nevada. Geophysical Research Letters, 36(22).",OR,MA
"Duan, H., Shang, C., Yang, K., & Luo, Y. (2022). Dynamic response of surface water temperature in Urban Lakes under different climate scenariosa case study in dianchi Lake, China. International Journal of Environmental Research and Public Health, 19(19), 12142.",OR,WW
"Duan, H., Yang, K., Shang, C., Zhou, X., & Luo, Y. (2024). Anthropogenic impact of lake surface water temperature of lakes: A case study of eleven lakes on the yunnan-guizhou plateau. Ecological Indicators, 165, 112165.",OR,BM
"Yu, Z., Yang, K., Luo, Y., Wang, P., & Yang, Z. (2021). Research on the lake surface water temperature downscaling based on deep learning. IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing, 14, 5550-5558.",OR,CB
"Bayable, G., Cai, J., Mekonnen, M., Legesse, S. A., Ishikawa, K., Sato, S., & Kuwahara, V. S. (2024). Spatiotemporal variability of lake surface water temperature and water quality parameters and its interrelationship with water hyacinth biomass in Lake Tana, Ethiopia. Environmental Science and Pollution Research, 31(33), 45929-45953.",OR,MP
"Sobrino, J. A., García-Monteiro, S., & Julien, Y. (2024). An analysis of the Lake Surface Water Temperature evolution of the worlds largest lakes during the years 2003-2020 using MODIS data. Recent Adv. Remote Sens, 1, 1-9.",OR,MS
"Aguilar-Lome, J., Soca-Flores, R., & Gómez, D. (2021). Evaluation of the Lake Titicaca's surface water temperature using LST MODIS time series (20002020). Journal of South American Earth Sciences, 112, 103609.",MA,OR
"Herrick, C., Steele, B. G., Brentrup, J. A., Cottingham, K. L., Ducey, M. J., Lutz, D. A., ... & Weathers, K. C. (2023). lakeCoSTR: A tool to facilitate use of Landsat Collection 2 to estimate lake surface water temperatures. Ecosphere, 14(1), e4357.",MA,WW
"Olowoyeye, T., Ptak, M., & Sojka, M. (2023). How Do Extreme Lake Water Temperatures in Poland Respond to Climate Change?. Resources, 12(9), 107.",MA,BM
"Niedrist, G. H., Psenner, R., & Sommaruga, R. (2018). Climate warming increases vertical and seasonal water temperature differences and inter-annual variability in a mountain lake. Climatic Change, 151(3), 473-490.",MP,CB
"Peng, J., Chen, J., Liu, S., Liu, T., Deng, F., Fan, Y., & De Maeyer, P. (2024). Dynamics of the risk of algal blooms induced by surface water temperature in an alpine eutrophic lake under climate warming: Insights from Lake Dianchi. Journal of Hydrology, 643, 131949.",MP,OR
"Yang, K., Yu, Z., Luo, Y., Zhou, X., & Shang, C. (2019). Spatial?temporal variation of lake surface water temperature and its driving factors in Yunnan?Guizhou Plateau. Water Resources Research, 55(6), 4688-4703.",MP,MS
"Li, D., Luo, Y., Yang, K., Shang, C., Zhu, S., Peng, S., Li, A., Chen, R., Peng, Z., Pei, X., Yin, Y., Wang, Q., Peng, C., & Wei, H. (2024). Effects of Climate Change and Urbanization on Spatiotemporal Variations of Lake Surface Water Temperature [Article]. IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing, 17, 19955-19971. https://doi.org/10.1109/JSTARS.2024.3487623 ",MP,MA
"Wang, W., Shi, K., Wang, X., Zhang, Y., Qin, B., Zhang, Y., & Woolway, R. I. (2024). The impact of extreme heat on lake warming in China [Article]. Nature Communications, 15(1), Article 70. https://doi.org/10.1038/s41467-023-44404-7 ",MP,WW
"Duan, Z., Gao, W., Cheng, G., Zhang, Y., & Chang, X. (2024). Warming surface and Lake heatwaves as key drivers to harmful algal Blooms: A case study of Lake Dianchi, China [Article]. Journal of Hydrology, 632, Article 130971. https://doi.org/10.1016/j.jhydrol.2024.130971 ",MP,BM
"Gan, F., Gao, Y., & Wei, Z. (2025). Changes in the summer seasonal cycle of lakes in the Inner Tibetan Plateau since the 21st century [Article]. Climatic Change, 178(4), Article 70. https://doi.org/10.1007/s10584-025-03911-w ",MP,CB
"Tavares, M. H., Cardoso, M. A., Motta Marques, D., Bonnet, M. P., & Fragoso, C. R. (2024). High Spring Warming Rates in an Extensive Subtropical Shallow Lakes System Detected Using MODIS Imagery [Article]. ACS ES and T Water, 4(4), 1518-1530. https://doi.org/10.1021/acsestwater.3c00622 ",MP,OR
"Wang, Y., Tao, J., Zhao, L., Qin, S., Xiao, H., Wang, Y., Sheng, D., & Zhang, Y. (2024). Investigating long-term changes in surface water temperature of Dongting Lake using Landsat imagery, China [Article]. Environmental Science and Pollution Research, 31(28), 41167-41181. https://doi.org/10.1007/s11356-024-33878-7 ",MP,MS
"Wu, Y., Ji, F., Wang, S., He, Y., & Hu, S. (2024). Increased Warming Efficiencies of Lake Heatwaves Enhance Dryland Lake Warming over China [Article]. Remote Sensing, 16(3), Article 588. https://doi.org/10.3390/rs16030588 ",MP,MA
"Shinohara, R., Tanaka, Y., Kanno, A., & Matsushige, K. (2021). Relative impacts of increases of solar radiation and air temperature on the temperature of surface water in a shallow, eutrophic lake. Hydrology Research, 52(4), 916-926.",CB,WW
"Bachmann, R. W. (2025). Climate Change for Lakes in the Coterminous United States in Relation to Lake Warming from 1981 to 2023. Water, 17(14), 2138.",CB,BM
"Wan, W., Li, H., Xie, H., Hong, Y., Long, D., Zhao, L., ... & Yang, W. (2017). A comprehensive data set of lake surface water temperature over the Tibetan Plateau derived from MODIS LST products 20012015. Scientific Data, 4(1), 1-10.",CB,MP
"Toffolon, M., Yousefi, A., & Piccolroaz, S. (2022). Estimation of the thermally reactive layer in lakes based on surface water temperature. Water Resources Research, 58(6), e2021WR031755.",CB,OR
"Fichot, C. G., Matsumoto, K., Holt, B., Gierach, M. M., & Tokos, K. S. (2019). Assessing change in the overturning behavior of the Laurentian Great Lakes using remotely sensed lake surface water temperatures. Remote Sensing of Environment, 235, 111427.",CB,MA
